waiver_id,created,modified,identifier,identifier_type,source_field,waiver_title,contracting_agency,funding_agency,psc,waiver_type,fiscal_year
69a0c0e21052c0f43950a34e,2026-02-26 15:03:06.545210+00:00,2026-03-07 16:34:03.595495+00:00,2910016337261,nsn,summary,Fuel Pump Variants to Support the High Mobility Multi-Purpose Wheeled Vehicle (HMMWV),DEFENSE LOGISTICS AGENCY (DLA),DEPT OF THE ARMY,"2910 - ENGINE FUEL SYSTEM COMPONENTS, NONAIRCRAFT",Nonavailability,2026
69a0c0e21052c0f43950a34e,2026-02-26 15:03:06.545210+00:00,2026-03-07 16:34:03.595495+00:00,DB2831-6278,part_number,summary,Fuel Pump Variants to Support the High Mobility Multi-Purpose Wheeled Vehicle (HMMWV),DEFENSE LOGISTICS AGENCY (DLA),DEPT OF THE ARMY,"2910 - ENGINE FUEL SYSTEM COMPONENTS, NONAIRCRAFT",Nonavailability,2026
69a0c0e21052c0f43950a34e,2026-02-26 15:03:06.545210+00:00,2026-03-07 16:34:03.595495+00:00,2910016337271,nsn,summary,Fuel Pump Variants to Support the High Mobility Multi-Purpose Wheeled Vehicle (HMMWV),DEFENSE LOGISTICS AGENCY (DLA),DEPT OF THE ARMY,"2910 - ENGINE FUEL SYSTEM COMPONENTS, NONAIRCRAFT",Nonavailability,2026
69a0c0e21052c0f43950a34e,2026-02-26 15:03:06.545210+00:00,2026-03-07 16:34:03.595495+00:00,DB2831-6277,part_number,summary,Fuel Pump Variants to Support the High Mobility Multi-Purpose Wheeled Vehicle (HMMWV),DEFENSE LOGISTICS AGENCY (DLA),DEPT OF THE ARMY,"2910 - ENGINE FUEL SYSTEM COMPONENTS, NONAIRCRAFT",Nonavailability,2026
69a0c0e21052c0f43950a34e,2026-02-26 15:03:06.545210+00:00,2026-03-07 16:34:03.595495+00:00,2910016410007,nsn,summary,Fuel Pump Variants to Support the High Mobility Multi-Purpose Wheeled Vehicle (HMMWV),DEFENSE LOGISTICS AGENCY (DLA),DEPT OF THE ARMY,"2910 - ENGINE FUEL SYSTEM COMPONENTS, NONAIRCRAFT",Nonavailability,2026
69a0c0e21052c0f43950a34e,2026-02-26 15:03:06.545210+00:00,2026-03-07 16:34:03.595495+00:00,DB2829-6286,part_number,summary,Fuel Pump Variants to Support the High Mobility Multi-Purpose Wheeled Vehicle (HMMWV),DEFENSE LOGISTICS AGENCY (DLA),DEPT OF THE ARMY,"2910 - ENGINE FUEL SYSTEM COMPONENTS, NONAIRCRAFT",Nonavailability,2026
69a0c0e21052c0f43950a34e,2026-02-26 15:03:06.545210+00:00,2026-03-07 16:34:03.595495+00:00,2910016410042,nsn,summary,Fuel Pump Variants to Support the High Mobility Multi-Purpose Wheeled Vehicle (HMMWV),DEFENSE LOGISTICS AGENCY (DLA),DEPT OF THE ARMY,"2910 - ENGINE FUEL SYSTEM COMPONENTS, NONAIRCRAFT",Nonavailability,2026
69a0c0e21052c0f43950a34e,2026-02-26 15:03:06.545210+00:00,2026-03-07 16:34:03.595495+00:00,DB2831-6364,part_number,summary,Fuel Pump Variants to Support the High Mobility Multi-Purpose Wheeled Vehicle (HMMWV),DEFENSE LOGISTICS AGENCY (DLA),DEPT OF THE ARMY,"2910 - ENGINE FUEL SYSTEM COMPONENTS, NONAIRCRAFT",Nonavailability,2026
69267e8f0f358af1bd316fd3,2025-11-25 00:34:19.532870+00:00,2025-12-11 02:10:23.881531+00:00,Z1CE000Y7,part_number,summary,MAC BOOKS,DEPT OF THE NAVY,DEPT OF THE NAVY,7B20 - IT AND TELECOM - HIGH PERFORMANCE COMPUTE (HARDWARE AND PERPETUAL LICENSE SOFTWARE),Nonavailability,2026
69267e8f0f358af1bd316fd3,2025-11-25 00:34:19.532870+00:00,2025-12-11 02:10:23.881531+00:00,Z1FG000DL,part_number,summary,MAC BOOKS,DEPT OF THE NAVY,DEPT OF THE NAVY,7B20 - IT AND TELECOM - HIGH PERFORMANCE COMPUTE (HARDWARE AND PERPETUAL LICENSE SOFTWARE),Nonavailability,2026
