nsn,nsn_formatted,fsc,ncb,ncb_country,classification,example_waiver_title
1660016004909,1660-01-600-4909,1660,01,US,valid_dod_nsn,"Heat Exchanger, Air"
1680016229189,1680-01-622-9189,1680,01,US,valid_dod_nsn,ENHANCED GROUND
2815015582770,2815-01-558-2770,2815,01,US,valid_dod_nsn,Diesel engine for generator to support the Forward Repair System (FRS) maintenance module.
2895145543146,2895-14-554-3146,2895,14,France,valid_nato_foreign_nsn,"MOTOR,PNEUMATIC"
2910016337261,2910-01-633-7261,2910,01,US,valid_dod_nsn,Fuel Pump Variants to Support the High Mobility Multi-Purpose Wheeled Vehicle (HMMWV)
2910016337271,2910-01-633-7271,2910,01,US,valid_dod_nsn,Fuel Pump Variants to Support the High Mobility Multi-Purpose Wheeled Vehicle (HMMWV)
2910016410007,2910-01-641-0007,2910,01,US,valid_dod_nsn,Fuel Pump Variants to Support the High Mobility Multi-Purpose Wheeled Vehicle (HMMWV)
2910016410042,2910-01-641-0042,2910,01,US,valid_dod_nsn,Fuel Pump Variants to Support the High Mobility Multi-Purpose Wheeled Vehicle (HMMWV)
3020012040669,3020-01-204-0669,3020,01,US,valid_dod_nsn,Addition of NSN to the Honeywell Supplier Capability Contract SPE4AX-22-D-0003
3990015742050,3990-01-574-2050,3990,01,US,valid_dod_nsn,"Roller, Material Handling"
4240015387970,4240-01-538-7970,4240,01,US,valid_dod_nsn,"2,365 CS of Hearing Protectors"
4510015272274,4510-01-527-2274,4510,01,US,valid_dod_nsn,Sole Source Approved For NSN 4510-01-527-2274
5975012744810,5975-01-274-4810,5975,01,US,valid_dod_nsn,"5975012744810; BRACKET,BLOCK MOUNT"
6115012520367,6115-01-252-0367,6115,01,US,valid_dod_nsn,"Generator, Alternati"
6695012662248,6695-01-266-2248,6695,01,US,valid_dod_nsn,"Transducer, Motional"
8150014633177,8150-01-463-3177,8150,01,US,valid_dod_nsn,NSN: 8150-01-463-3177 - 20' ISO Container
8150014636282,8150-01-463-6282,8150,01,US,valid_dod_nsn,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS
8150014638553,8150-01-463-8553,8150,01,US,valid_dod_nsn,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS
8150014638555,8150-01-463-8555,8150,01,US,valid_dod_nsn,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS
8150014813740,8150-01-481-3740,8150,01,US,valid_dod_nsn,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS
8150014813741,8150-01-481-3741,8150,01,US,valid_dod_nsn,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS
8150014839115,8150-01-483-9115,8150,01,US,valid_dod_nsn,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS
8150014839121,8150-01-483-9121,8150,01,US,valid_dod_nsn,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS
8150014839123,8150-01-483-9123,8150,01,US,valid_dod_nsn,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS
8150014839125,8150-01-483-9125,8150,01,US,valid_dod_nsn,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS
8150014886545,8150-01-488-6545,8150,01,US,valid_dod_nsn,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS
8150014912678,8150-01-491-2678,8150,01,US,valid_dod_nsn,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS
8150014912727,8150-01-491-2727,8150,01,US,valid_dod_nsn,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS
8150015012741,8150-01-501-2741,8150,01,US,valid_dod_nsn,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS
8150015134913,8150-01-513-4913,8150,01,US,valid_dod_nsn,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS
8150015148414,8150-01-514-8414,8150,01,US,valid_dod_nsn,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS
8150015338673,8150-01-533-8673,8150,01,US,valid_dod_nsn,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS
8150015338674,8150-01-533-8674,8150,01,US,valid_dod_nsn,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS
8150015338675,8150-01-533-8675,8150,01,US,valid_dod_nsn,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS
8150015338677,8150-01-533-8677,8150,01,US,valid_dod_nsn,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS
8150015737424,8150-01-573-7424,8150,01,US,valid_dod_nsn,SPE8ED22Q0729
8150015741682,8150-01-574-1682,8150,01,US,valid_dod_nsn,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS
