nsn,piid,clin_tag
1660-01-600-4909,N0038318PD009,2
1660-01-600-4909,N0038319FFQ2M,1
1660-01-600-4909,N0038324FV602,1
1680-01-622-9189,N0038321FXE02,3
1680-01-622-9189,N0038322FXE04,3
1680-01-622-9189,N0038323FV601,2
1680-01-622-9189,N0038325FXE00,3
2895-14-554-3146,SPE4A618PN943,1
2895-14-554-3146,SPE4A619PM396,1
2895-14-554-3146,SPE4A723P7440,1
3990-01-574-2050,SPE8ED21P0279,1
3990-01-574-2050,SPE8ED21P0459,1
3990-01-574-2050,SPE8ED21P0678,1
3990-01-574-2050,SPE8EF17P0249,1
3990-01-574-2050,SPE8EF17P0252,1
3990-01-574-2050,SPE8EF17P0255,1
3990-01-574-2050,SPE8EF17P0566,1
3990-01-574-2050,SPE8EF18P0310,1
3990-01-574-2050,SPE8EF18P0465,1
3990-01-574-2050,SPE8EF18P0960,1
3990-01-574-2050,SPE8EF18P1046,1
3990-01-574-2050,SPE8EF20P0248,1
3990-01-574-2050,SPE8EF20P0456,1
3990-01-574-2050,SPE8EF20P0703,1
3990-01-574-2050,SPE8EF20V0168,1
3990-01-574-2050,SPE8EF21V0457,1
3990-01-574-2050,SPE8EF22V0004,1
3990-01-574-2050,SPE8EF23P0348,2
3990-01-574-2050,SPE8EF23P0723,1
3990-01-574-2050,SPE8EF24P0116,1
3990-01-574-2050,SPE8EF24P0711,1
3990-01-574-2050,SPE8EF24V0646,1
