_id,created,modified,fiscal_year,Waiver_Title,North_American_Industry_Classification_System_(NAICS),Product_Service_Code_(PSC),Waiver_Type,OMB_Determination,Request_Status,Waiver_Start_Date,Waiver_Expiration_Date,Determination_Date,Assessment_of_any_cost_advantages_of_the_foreign_source_product_(500_word_max),certification,Contracting_Office_Agency_ID,Contracting_Office_Agency_Name,Expected_Maximum_Duration_of_the_Proposed_Waiver,Funding_Agency_ID,Funding_Agency_Name,Did_/_Will_the_solicitation_include_one_of_the_standard_Buy_American_Act_provisions_announcing_the_agency’s_intention_to_provide_a_price_preference_for_domestic_end_products_and_construction_material?,Procurement_Instrument_Identifier(s)_(PIID)_for_this_waiver_(if_applicable),Please_describe_why_this_is_in_the_public_interest_(500_word_max),Procurement_stage,Public_Comment_Link,Solicitation_ID,Was_a_Sources_Sought_or_Request_for_Information_issued?,Waiver_Coverage,Summary_of_Procurement_(500_word_max),Waiver_Type.1,federal_action_obligation,total_dollars_obligated,place_of_manufacture
69b020b2150f558e9e9f655a,2026-03-09T18:51:55.311833000+0000,2026-03-09 18:51:55.311833+00:00,2026,Millipore-Sigma Steritest Symbio Laminar Flow Hood (LFH) pump,334516 - Analytical Laboratory Instrument Manufacturing ,6640 - LABORATORY EQUIPMENT AND SUPPLIES,Nonavailability,,Submitted,,,,,,7524,FOOD AND DRUG ADMINISTRATION,Instant Delivery Only,7524,FOOD AND DRUG ADMINISTRATION,Yes,75F40126P00017,,Post-solicitation,,75F40126Q132642,Yes,Individual waiver,"The Food and Drug
Administration (FDA), Irvine Medical Products Laboratory (IRVLMP) is a regulatory
testing laboratory that is ISO 17025 accredited. The laboratory is responsible for
microbiological testing of multiple pharmaceutical dosage forms which require sterility
testing to determine if they comply with regulations. The laboratory performs sterility
testing using Steritest ISL pumps manufactured by Millipore-Sigma. In order to remove
existing bottlenecks in suitability testing which precedes sterility testing, the laboratory
requires an additional closed-filtration sterility pump that is a “Brand Name or Equal”
Millipore-Sigma Steritest Symbio Laminar Flow Hood (LFH) pump, to be used in a
laminar air flow hood. The acquisition of a “Brand Name or Equal” Millipore-Sigma
Steritest LFH pump will ensure compatibility with existing Millipore-Sigma Steritest
ISL test kits, allowing their continued use with the new closed-filtration pump and
enabling the laboratory to meet the suitability requirements specified in USP <71>, the
official compendial method for sterility testing.",Nonavailability,,,
69ac3854312074e50499d5e4,2026-03-06T13:29:08.425427000+0000,2026-03-06 13:29:08.425427+00:00,2026,Med_Surg: Drawtex Dressing (Q0078),325413 - In-Vitro Diagnostic Substance Manufacturing ,"6515 - MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",Nonavailability,,Submitted,,,,,,3600,"VETERANS AFFAIRS, DEPARTMENT OF",Instant Delivery Only,3600,"VETERANS AFFAIRS, DEPARTMENT OF",Yes,36C77026Q0078,,Post-solicitation,,36C77026Q0078,Yes,Individual waiver,This is a pre-award waiver for Drawtex Dressing manufactured in S. Africa.,Nonavailability,,,
69ab5aaf41091eac578000a1,2026-03-05T22:08:45.986781000+0000,2026-03-05 22:08:45.986781+00:00,2026,Commercial Semi-Automatic Probe Station,334516 - Analytical Laboratory Instrument Manufacturing ,6695 - COMBINATION AND MISCELLANEOUS INSTRUMENTS,Nonavailability,,Submitted,,,,,,1341,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,Instant Delivery Only,1341,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,Yes,1333ND26PNB030032,,Post-solicitation,,1333ND26QNB030047,Yes,Individual waiver,"Silicon carbide field effect transistors (FETs) have emerged as a superior solution to silicon FETs for high power semiconductor applications. In
recent years, the silicon carbide FET industry has grown at a significant rate with applications in photovoltaics, the power grid, electric
vehicles, energy storage, and more. Despite the commercial success of these devices, the industry is plagued by reliability problems, often
leading to the need for redundancy in integrated systems. Arguably most important among these issues is the extrinsic breakdown
characteristics of the FET gate oxide. Studying this problem requires a deep statistical understanding of device behavior, and innovative
solutions for pre-screening from the factory. A large-scale, multi-faceted reliability testing platform is required in order to find solutions.
The NIST Physical Measurement Laboratory, Nanoscale Device Characterization Division, Advanced Electronics Group (AEG) requires a 300
mm wafer probing station which will facilitate the study of transistor characteristics, leakage currents, and breakdown behavior of silicon
carbide FET gate dielectrics. This purchase aligns with the CHIPS R&D Programs Office’s mission to standardize new materials, processes, and equipment for microelectronics research. The resulting data will be compared to statistical breakdown data obtained through our effort to
create a massively parallel testing platform. The data will also be compared to that of industry standard pre-screening tests on identical
samples in order to verify or dispute their accuracy. Similar methodology may be applied to other gate oxide reliability problems in the future.",Nonavailability,,,
69aae0c840f25c96a6169efa,2026-03-05T21:51:58.839403000+0000,2026-03-05 21:51:58.839403+00:00,2026,Microwave Digital Lock-in Amplifier,334516 - Analytical Laboratory Instrument Manufacturing ,6695 - COMBINATION AND MISCELLANEOUS INSTRUMENTS,Nonavailability,,Submitted,,,,,,1341,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,Instant Delivery Only,1341,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,Yes,,,Pre-solicitation,,,Yes,Individual waiver,"The NIST Physical Measurement Laboratory, Microsystems and Nanotechnology Division, Photonics and Optomechanics Group (POG) develops micromechanical resonators for precision sensing (e.g., acceleration, ultrasound, mass sensing) and quantum information science (e.g., quantum memory, quantum frequency conversion) where the resonance frequencies of interest are often in the microwave range and in excess of 1 GHz. A microwave digital lock-in amplifier is needed for the measurement of microwave acoustic resonators that are being developed for real-time mass measurements within material deposition processes, among several other applications. The system must be able to operate at frequencies up to 1.8 GHz, be capable of measuring the amplitude and phase of signals at these frequencies, and provide a phase locked loop with proportional-integral-derivative feedback control so that mechanical resonances can be tracked and characterized.",Nonavailability,,,
69a88a56bd2fb3561a156942,2026-03-04T15:05:03.394527000+0000,2026-03-07 16:52:34.497518+00:00,2026,Pharmaceutical: Zinc Oxide 20% (Q0070),325412 - Pharmaceutical Preparation Manufacturing ,6505 - DRUGS AND BIOLOGICALS,Nonavailability,Consistent with Policy,Reviewed,,,,,[],3600,"VETERANS AFFAIRS, DEPARTMENT OF",Instant Delivery Only,3600,"VETERANS AFFAIRS, DEPARTMENT OF",Yes,36C77026P0046,,Post-solicitation,,36C77026Q0070,Yes,Individual waiver,"This a pre-award waiver for Zinc Oxide, manufactured in India",Nonavailability,,,
69a962f530dc330d4e8953c2,2026-03-04T15:02:48.397710000+0000,2026-03-07 16:51:06.381703+00:00,2026,Surgical Instruments,339113 - Surgical Appliance and Supplies Manufacturing ,"6515 - MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",Nonavailability,Consistent with Policy,Reviewed,,,,,[],3600,"VETERANS AFFAIRS, DEPARTMENT OF",Instant Delivery Only,3600,"VETERANS AFFAIRS, DEPARTMENT OF",No,,,Pre-solicitation,,,Yes,Individual waiver,"This one-time buy is for the acquisition of Steris surgical instruments for the Atlanta VA Healthcare System. These brand name instruments are needed to replace non-surgical equipment that was found in a recent inspection. These items are critical for continued patient care and VHA compliance. Identical items are currently in-use at this location, and additional instruments are needed for continued patient care and compliance.",Nonavailability,,,
69a911f69cb3084a39b94a56,2026-03-04T13:18:44.461404000+0000,2026-03-07 16:49:25.585658+00:00,2026,Commercial Testing Instrument,334516 - Analytical Laboratory Instrument Manufacturing ,6695 - COMBINATION AND MISCELLANEOUS INSTRUMENTS,Nonavailability,Consistent with Policy,Reviewed,,,,,[],1341,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,Instant Delivery Only,1341,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,Yes,1333ND26PNB030031,,Post-solicitation,,1333ND26QNB030050,Yes,Individual waiver,"The NIST Material Measurement Laboratory, Applied Chemicals and Materials Division, Fatigue and Fracture Group (FFG) is
developing new metrology to measure the micromechanical properties, to fracture, of thin-film electroplated copper (Cu) and
micro-sized lead-free solder. These materials are critical as interconnects for heterogeneous integration for advanced packaging.
Cu is used for Cu-to-Cu hybrid bonding, the most advanced interconnect technology today and in the near future, while Sn-Ag-Cu
(SAC) solder is used for all levels of packaging. Mechanical property data, to fracture, are lacking or sparse for these materials with
size scales, chemical composition and microstructure similar to that of the interconnects, but are needed by the semiconductor
industry to improve their models. The characteristic length for Cu hybrid bonds is 1 micron, and that of solder can range from 1
micron to over 100 microns. A state-of-the-art technique is to use nanoindentation to measure mechanical properties, however,
nanoindentation tests are typically not to fracture, especially for ductile materials such as metals. NIST is therefore developing new
techniques to measure various mechanical properties (such as tensile, shear, bending, fatigue) of freestanding micro-sized metal
specimens with NIST-designed geometries, and requires a suitable mechanical testing instrument to load the micro specimens to
fracture, as well as to measure the force and displacement outputs of NIST’s Microelectromechanical Systems (MEMS)-based test
chips. Therefore, NIST requires a micromechanical testing instrument for two disparate functions: (a) materials testing such as micro
tensile testing, and (b) force calibration of MEMS actuators.",Nonavailability,,,
69a8d9bd4bf95f5122297f14,2026-03-03T22:29:53.642932000+0000,2026-03-07 16:46:54.479839+00:00,2026,Procurement Nonavailability,"238220 - Plumbing, Heating, and Air-Conditioning Contractors ",Y1JZ - CONSTRUCTION OF MISCELLANEOUS BUILDINGS,Nonavailability,Consistent with Policy,Reviewed,,,,,[],2100,DEPT OF THE ARMY,,2100,DEPT OF THE ARMY,Yes,,,Pre-solicitation,,,Yes,Individual waiver,"The U.S. Army Corps of Engineers (USACE) has been tasked to solicit for and award a Design-Bid-Build construction project at Fort Hood, TX. The Central Energy Plant project is to construct 24 buildings with chilled water replacing 24 air cooled chillers.  One (1) mini split are required for this project.",Nonavailability,,,
69a751ef835a7edc728c4728,2026-03-03T14:49:23.749944000+0000,2026-03-07 16:44:06.747554+00:00,2026,Probes,334516 - Analytical Laboratory Instrument Manufacturing ,6695 - COMBINATION AND MISCELLANEOUS INSTRUMENTS,Nonavailability,Consistent with Policy,Reviewed,,,,,[],1341,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,Instant Delivery Only,1341,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,Yes,1333ND26PNB030030,,Post-solicitation,,1333ND26QNB030028,Yes,Individual waiver,"The NIST Communications Technology Laboratory, RF Technology Division, Guided Wave
Electromagnetics Group (GWEG) requires five 220 GHz on-wafer probes for a 220 GHz Anritsu
VectorStar. The probes will be used for the manufacturing of on-wafer standards for S-parameters and
Power to 330 GHz. The objective of the requirement is to provide known permittivity measurements
for on-wafer traceability for S-parameters, Power, and Phase. This requirement supports the NIST
CHIPS program objective to develop and disseminate NIST best practices and algorithms for complex
permittivity and on-wafer measurement. The required work provides probes for picking and placing
fused silica coupons for thickness and permittivity measurements.",Nonavailability,,,
69a782bc89f83055e9999b1c,2026-03-03T12:06:58.744234000+0000,2026-03-07 16:41:28.410163+00:00,2026,Pharmaceutical: Armodafinil (Q0080),325412 - Pharmaceutical Preparation Manufacturing ,6505 - DRUGS AND BIOLOGICALS,Nonavailability,Consistent with Policy,Reviewed,,,,,[],3600,"VETERANS AFFAIRS, DEPARTMENT OF",Instant Delivery Only,3600,"VETERANS AFFAIRS, DEPARTMENT OF",Yes,36C77026P0048,,Post-solicitation,,36C77026Q0080,Yes,Individual waiver,"This is a pre-award waiver for the pharmaceutical Armodafinil, manufactured in India.",Nonavailability,,,
