"Date","Contract","Order","Line","NSN","Price","Qty","Cage","Company"
"2024/11/26","N0038325FXE00","","0036AA","1680-01-654-3217","0.00","4","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0025AA","1680-01-610-5095","0.00","2","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0026AA","1680-01-610-6290","0.00","300","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0027AA","1680-01-621-9046","0.00","4","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0028AA","1680-01-622-7388","0.00","6","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0029AA","1680-01-622-9189","0.00","1","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0030AA","6150-01-626-5341","0.00","1","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0031AA","1680-01-627-6038","0.00","6","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0032AA","1680-01-627-6877","0.00","7","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0033AA","5965-01-633-7662","0.00","2","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0034AA","1680-01-642-3175","0.00","3","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0035AA","1680-01-644-2527","0.00","3","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0024AA","1680-01-609-9031","0.00","2","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0037AA","5826-01-657-4405","0.00","3","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0038AA","1680-01-659-1400","0.00","3","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0039AA","1680-01-668-1661","0.00","3","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0040AA","6340-01-671-1932","0.00","6","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0041AA","0000-12-396-7704","0.00","1","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0042AA","0000-14-567-6085","0.00","8","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0043AA","0000-14-567-8340","0.00","5","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0044AA","0000-14-577-7867","0.00","7","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0045AA","0000-20-008-8875","0.00","1","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0046AA","0000-99-411-9364","0.00","7","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0013AA","1680-01-581-4145","0.00","1","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0002AA","4820-01-573-0816","0.00","1","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0003AA","6695-01-573-1832","0.00","3","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0004AA","1660-01-573-3523","0.00","3","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0005AA","4820-01-577-6248","0.00","2","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0006AA","6350-01-578-5514","0.00","2","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0007AA","6620-01-578-6561","0.00","5","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0008AA","6620-01-578-6562","0.00","11","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0009AA","1650-01-578-9551","0.00","1","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0010AA","4810-01-578-9645","0.00","1","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0011AA","6220-01-580-2420","0.00","6","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0012AA","6140-01-581-2966","0.00","23","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0001AA","4140-01-411-9952","0.00","1","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0014AA","1680-01-585-4832","0.00","1","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0015AA","1680-01-585-4849","0.00","1","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0016AA","1680-01-585-4877","0.00","1","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0017AA","1680-01-585-4909","0.00","5","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0018AA","1680-01-585-4984","0.00","13","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0019AA","1680-01-585-4991","0.00","5","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0020AA","1680-01-585-5368","0.00","1","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0021AA","1680-01-585-5455","0.00","3","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0022AA","1680-01-588-7448","0.00","1","41ME5","S&K AEROSPACE, LLC"
"2024/11/26","N0038325FXE00","","0023AA","1680-01-589-5941","0.00","1","41ME5","S&K AEROSPACE, LLC"
