"Date","Contract","Order","Line","NSN","Price","Qty","Cage","Company"
"2021/03/10","N0038321FXE02","","0015AA","1680-01-618-6164","0.00","1","41ME5","S&K AEROSPACE, LLC"
"2021/03/10","N0038321FXE02","","0029AA","0000-99-411-9364","0.00","3","41ME5","S&K AEROSPACE, LLC"
"2021/03/10","N0038321FXE02","","0028AA","1680-01-659-1400","0.00","1","41ME5","S&K AEROSPACE, LLC"
"2021/03/10","N0038321FXE02","","0027AA","1680-01-652-5951","0.00","1","41ME5","S&K AEROSPACE, LLC"
"2021/03/10","N0038321FXE02","","0026AA","1680-01-652-4019","0.00","13","41ME5","S&K AEROSPACE, LLC"
"2021/03/10","N0038321FXE02","","0025AA","1680-01-652-3872","0.00","3","41ME5","S&K AEROSPACE, LLC"
"2021/03/10","N0038321FXE02","","0024AA","1680-01-651-9807","0.00","4","41ME5","S&K AEROSPACE, LLC"
"2021/03/10","N0038321FXE02","","0023AA","1680-01-642-2008","0.00","3","41ME5","S&K AEROSPACE, LLC"
"2021/03/10","N0038321FXE02","","0022AA","1680-01-633-6194","0.00","4","41ME5","S&K AEROSPACE, LLC"
"2021/03/10","N0038321FXE02","","0021AA","1680-01-625-3902","0.00","2","41ME5","S&K AEROSPACE, LLC"
"2021/03/10","N0038321FXE02","","0020AA","1680-01-622-9189","0.00","1","41ME5","S&K AEROSPACE, LLC"
"2021/03/10","N0038321FXE02","","0019AA","1680-01-622-7388","0.00","6","41ME5","S&K AEROSPACE, LLC"
"2021/03/10","N0038321FXE02","","0018AA","6220-01-622-3469","0.00","3","41ME5","S&K AEROSPACE, LLC"
"2021/03/10","N0038321FXE02","","0017AA","1680-01-621-9046","0.00","9","41ME5","S&K AEROSPACE, LLC"
"2021/03/10","N0038321FXE02","","0016AA","1680-01-618-9904","0.00","1","41ME5","S&K AEROSPACE, LLC"
"2021/03/10","N0038321FXE02","","0001AA","6130-01-533-2224","0.00","3","41ME5","S&K AEROSPACE, LLC"
"2021/03/10","N0038321FXE02","","0014AA","1680-01-610-6290","0.00","20","41ME5","S&K AEROSPACE, LLC"
"2021/03/10","N0038321FXE02","","0013AA","1680-01-601-0207","0.00","8","41ME5","S&K AEROSPACE, LLC"
"2021/03/10","N0038321FXE02","","0012AA","1680-01-588-5781","0.00","2","41ME5","S&K AEROSPACE, LLC"
"2021/03/10","N0038321FXE02","","0011AA","1680-01-585-4991","0.00","5","41ME5","S&K AEROSPACE, LLC"
"2021/03/10","N0038321FXE02","","0010AA","1680-01-585-4984","0.00","5","41ME5","S&K AEROSPACE, LLC"
"2021/03/10","N0038321FXE02","","0009AA","1680-01-585-4893","0.00","2","41ME5","S&K AEROSPACE, LLC"
"2021/03/10","N0038321FXE02","","0008AA","1680-01-585-4806","0.00","4","41ME5","S&K AEROSPACE, LLC"
"2021/03/10","N0038321FXE02","","0007AA","1680-01-585-4776","0.00","1","41ME5","S&K AEROSPACE, LLC"
"2021/03/10","N0038321FXE02","","0006AA","6130-01-580-7774","0.00","8","41ME5","S&K AEROSPACE, LLC"
"2021/03/10","N0038321FXE02","","0005AA","6130-01-580-2350","0.00","1","41ME5","S&K AEROSPACE, LLC"
"2021/03/10","N0038321FXE02","","0004AA","4820-01-577-6248","0.00","1","41ME5","S&K AEROSPACE, LLC"
"2021/03/10","N0038321FXE02","","0003AA","2835-01-573-3495","0.00","3","41ME5","S&K AEROSPACE, LLC"
"2021/03/10","N0038321FXE02","","0002AA","6610-01-552-2124","0.00","9","41ME5","S&K AEROSPACE, LLC"
