"Date","Contract","Order","Line","NSN","Price","Qty","Cage","Company"
"2025/12/29","SPE8ED26V0117","","0001","8145-01-588-3678","11,700.62","1","1NSG3","BOH ENVIRONMENTAL, L.L.C."
"2025/10/02","SPE8ED26V0006","","0001","8145-01-588-3678","11,700.62","1","1NSG3","BOH ENVIRONMENTAL, L.L.C."
"2025/09/04","SPE8ED25V0661","","0001","8145-01-588-3678","11,700.62","2","1NSG3","BOH ENVIRONMENTAL, L.L.C."
"2025/09/04","SPE8ED25V0661","","0002","8145-01-588-3678","11,700.62","9","1NSG3","BOH ENVIRONMENTAL, L.L.C."
"2025/08/28","SPE8ED25V0656","","0001","8145-01-588-3678","11,700.62","1","1NSG3","BOH ENVIRONMENTAL, L.L.C."
"2025/02/06","SPE8ED25V0309","","0001","8145-01-588-3678","12,870.00","1","6GBG2","BOH ENVIRONMENTAL"
"2024/10/21","SPE8ED25V0072","","0001","8145-01-588-3678","11,525.13","1","6GBG2","BOH ENVIRONMENTAL"
"2024/10/21","SPE8ED25V0072","","0002","8145-01-588-3678","11,525.13","1","6GBG2","BOH ENVIRONMENTAL"
"2024/10/21","SPE8ED25V0072","","0004","8145-01-588-3678","11,525.13","1","6GBG2","BOH ENVIRONMENTAL"
"2024/10/21","SPE8ED25V0072","","0005","8145-01-588-3678","11,525.13","1","6GBG2","BOH ENVIRONMENTAL"
"2024/10/21","SPE8ED25V0072","","0003","8145-01-588-3678","11,525.13","2","6GBG2","BOH ENVIRONMENTAL"
"2024/08/26","SPE8ED24V0543","","0001","8145-01-588-3678","11,700.62","2","6GBG2","BOH ENVIRONMENTAL"
"2024/05/13","SPE8ED24V0366","","0001","8145-01-588-3678","11,525.13","1","6GBG2","BOH ENVIRONMENTAL"
"2024/05/13","SPE8ED24V0366","","0002","8145-01-588-3678","11,525.13","5","6GBG2","BOH ENVIRONMENTAL"
"2024/04/12","SPE8ED24P0595","","0001","8145-01-588-3678","11,700.62","1","6GBG2","BOH ENVIRONMENTAL"
"2023/11/06","SPE8ED24V0073","","0001","8145-01-588-3678","11,700.62","1","6GBG2","BOH ENVIRONMENTAL"
"2023/11/06","SPE8ED24V0073","","0002","8145-01-588-3678","11,700.62","1","6GBG2","BOH ENVIRONMENTAL"
"2023/09/12","SPE8ED23V0627","","0001","8145-01-588-3678","11,700.62","1","6GBG2","BOH ENVIRONMENTAL"
"2023/09/07","SPE8ED23V0619","","0001","8145-01-588-3678","11,525.13","1","6GBG2","BOH ENVIRONMENTAL"
