"Date","Contract","Order","Line","NSN","Price","Qty","Cage","Company"
"2026/03/31","SPE8ED26P0693","","0001","8150-01-513-6282","4,599.00","2","1ULP1","W & K CONTAINERS, INC."
"2026/03/24","SPE8ED26P0661","","0001","8150-01-513-6282","5,123.00","5","1ULP1","W & K CONTAINERS, INC."
"2026/02/11","SPE8ED26P0488","","0001","8150-01-513-6282","6,059.00","10","1ULP1","W & K CONTAINERS, INC."
"2026/01/27","SPE8ED26P0424","","0001","8150-01-513-6282","9,999.00","1","1ULP1","W & K CONTAINERS, INC."
"2026/01/23","SPE8ED26P0414","","0001","8150-01-513-6282","4,175.00","6","6SD02","NEXGEN COMPOSITES LLC"
"2026/01/09","SPE8ED26P0365","","0001","8150-01-513-6282","5,497.00","5","1ULP1","W & K CONTAINERS, INC."
"2025/12/17","SPE8ED26P0304","","0001","8150-01-513-6282","5,248.00","1","0FXA9","SEA BOX, INC."
"2025/08/26","SPE8ED25P1563","","0001","8150-01-513-6282","4,393.00","12","1ULP1","W & K CONTAINERS, INC."
"2025/08/18","SPE8ED25P1510","","0001","8150-01-513-6282","4,689.00","4","1ULP1","W & K CONTAINERS, INC."
"2025/06/23","SPE8ED25P1286","","0001","8150-01-513-6282","8,975.00","70","6SD02","NEXGEN COMPOSITES LLC"
"2025/04/24","SPE8ED25P0992","","0001","8150-01-513-6282","4,975.00","2","6SD02","NEXGEN COMPOSITES LLC"
"2025/02/12","SPE8ED25P0578","","0001","8150-01-513-6282","5,240.00","2","0FXA9","SEA BOX, INC."
"2025/02/07","SPE8ED25P0548","","0002","8150-01-513-6282","5,626.00","1","0FXA9","SEA BOX, INC."
"2025/02/07","SPE8ED25P0548","","0001","8150-01-513-6282","5,626.00","3","0FXA9","SEA BOX, INC."
"2025/01/24","SPE8ED25P0493","","0001","8150-01-513-6282","5,395.00","1","6SD02","NEXGEN COMPOSITES LLC"
"2024/11/25","SPE8ED25P0309","","0001","8150-01-513-6282","6,999.00","1","1ULP1","W & K CONTAINERS, INC."
"2024/11/25","SPE8ED25P0309","","0002","8150-01-513-6282","6,999.00","2","1ULP1","W & K CONTAINERS, INC."
"2024/08/02","SPE8ED24P0893","","0001","8150-01-513-6282","9,751.00","4","0FXA9","SEA BOX, INC."
"2024/07/08","SPE8ED24P0826","","0001","8150-01-513-6282","9,863.00","1","1ULP1","W & K CONTAINERS, INC."
"2024/07/08","SPE8ED24P0826","","0002","8150-01-513-6282","9,863.00","1","1ULP1","W & K CONTAINERS, INC."
"2024/05/30","SPE8ED24P0717","","0001","8150-01-513-6282","6,465.00","15","1ULP1","W & K CONTAINERS, INC."
"2024/01/12","SPE8ED24P0043","","0001","8150-01-513-6282","5,519.00","10","1ULP1","W & K CONTAINERS, INC."
"2023/08/18","SPE8ED23P0965","","0001","8150-01-513-6282","6,829.00","5","1ULP1","W & K CONTAINERS, INC."
"2023/07/17","SPE8ED23P0910","","0001","8150-01-513-6282","8,289.00","25","1ULP1","W & K CONTAINERS, INC."
"2022/09/07","SPE8ED22P0989","","0001","8150-01-513-6282","9,875.00","2","81VU9","INTREPID EAGLE LOGISTICS INC"
"2022/08/23","SPE8ED22P0939","","0001","8150-01-513-6282","8,143.00","1","1ULP1","W & K CONTAINERS, INC."
"2022/08/23","SPE8ED22P0940","","0001","8150-01-513-6282","8,143.00","1","1ULP1","W & K CONTAINERS, INC."
"2022/08/18","SPE8ED22P0933","","0001","8150-01-513-6282","6,599.00","4","1ULP1","W & K CONTAINERS, INC."
"2022/08/18","SPE8ED22P0932","","0001","8150-01-513-6282","7,636.00","5","1ULP1","W & K CONTAINERS, INC."
"2022/04/14","SPE8ED22P0590","","0001","8150-01-513-6282","13,489.00","1","0FXA9","SEA BOX, INC."
"2022/03/18","SPE8ED22P0540","","0001","8150-01-513-6282","7,878.00","2","1ULP1","W & K CONTAINERS, INC."
"2022/03/07","SPE8ED22P0528","","0001","8150-01-513-6282","12,339.00","1","0FXA9","SEA BOX, INC."
"2022/03/01","SPE8ED22P0498","","0001","8150-01-513-6282","11,899.00","8","0FXA9","SEA BOX, INC."
"2022/02/07","SPE8ED22P0437","","0001","8150-01-513-6282","9,523.00","1","1ULP1","W & K CONTAINERS, INC."
"2022/01/25","SPE8ED22P0389","","0001","8150-01-513-6282","8,546.00","3","1ULP1","W & K CONTAINERS, INC."
"2022/01/13","SPE8ED22P0361","","0001","8150-01-513-6282","12,608.00","5","0FXA9","SEA BOX, INC."
"2022/01/03","SPE8ED22P0344","","0001","8150-01-513-6282","8,799.00","1","1ULP1","W & K CONTAINERS, INC."
"2022/01/03","SPE8ED22P0341","","0001","8150-01-513-6282","7,119.00","2","1ULP1","W & K CONTAINERS, INC."
"2022/01/03","SPE8ED22P0342","","0001","8150-01-513-6282","8,203.00","9","1ULP1","W & K CONTAINERS, INC."
"2022/01/03","SPE8ED22P0343","","0001","8150-01-513-6282","6,363.59","18","1ULP1","W & K CONTAINERS, INC."
"2021/05/03","SPE8ED21P0915","","0001","8150-01-513-6282","6,098.00","15","0FXA9","SEA BOX, INC."
"2021/03/04","SPE8ED21P0652","","0001","8150-01-513-6282","5,241.00","5","1ULP1","W & K CONTAINERS, INC."
"2021/03/02","SPE8ED21P0653","","0001","8150-01-513-6282","5,241.00","1","1ULP1","W & K CONTAINERS, INC."
