"Date","Contract","Order","Line","NSN","Price","Qty","Cage","Company"
"2025/09/25","SPE8ED25P1720","","0001","8150-01-488-6545","10,479.00","1","0FXA9","SEA BOX, INC."
"2025/05/01","SPE8ED25P1018","","0001","8150-01-488-6545","10,419.00","1","1ULP1","W & K CONTAINERS, INC."
"2025/04/30","SPE8ED25P1016","","0001","8150-01-488-6545","10,795.25","1","6SD02","NEXGEN COMPOSITES LLC"
"2025/04/09","SPE8ED25P0899","","0001","8150-01-488-6545","9,993.00","4","1ULP1","W & K CONTAINERS, INC."
"2025/03/12","SPE8ED25P0752","","0001","8150-01-488-6545","11,352.00","1","0FXA9","SEA BOX, INC."
"2024/12/11","SPE8ED25P0366","","0001","8150-01-488-6545","11,070.00","5","0FXA9","SEA BOX, INC."
"2024/08/12","SPE8ED24P0920","","0001","8150-01-488-6545","12,045.00","2","0FXA9","SEA BOX, INC."
"2024/07/30","SPE8ED24P0866","","0002","8150-01-488-6545","7,675.00","4","81VU9","INTREPID EAGLE LOGISTICS INC"
"2024/07/30","SPE8ED24P0866","","0005","8150-01-488-6545","7,675.00","2","81VU9","INTREPID EAGLE LOGISTICS INC"
"2024/07/30","SPE8ED24P0866","","0004","8150-01-488-6545","7,675.00","2","81VU9","INTREPID EAGLE LOGISTICS INC"
"2024/07/30","SPE8ED24P0866","","0003","8150-01-488-6545","7,675.00","2","81VU9","INTREPID EAGLE LOGISTICS INC"
"2024/07/30","SPE8ED24P0866","","0001","8150-01-488-6545","7,675.00","2","81VU9","INTREPID EAGLE LOGISTICS INC"
"2024/07/10","SPE8ED24P0830","","0001","8150-01-488-6545","11,199.00","3","1ULP1","W & K CONTAINERS, INC."
"2024/06/03","SPE8ED24P0561","","0001","8150-01-488-6545","9,899.00","4","1ULP1","W & K CONTAINERS, INC."
"2024/03/28","SPE8ED24P0554","","0001","8150-01-488-6545","12,964.00","1","0FXA9","SEA BOX, INC."
"2024/01/30","SPE8ED24P0238","","0004","8150-01-488-6545","9,899.00","1","1ULP1","W & K CONTAINERS, INC."
"2024/01/30","SPE8ED24P0238","","0002","8150-01-488-6545","9,899.00","1","1ULP1","W & K CONTAINERS, INC."
"2024/01/30","SPE8ED24P0238","","0001","8150-01-488-6545","9,899.00","1","1ULP1","W & K CONTAINERS, INC."
"2024/01/30","SPE8ED24P0238","","0003","8150-01-488-6545","9,899.00","2","1ULP1","W & K CONTAINERS, INC."
"2023/11/01","SPE8ED24P0158","","0001","8150-01-488-6545","10,666.00","1","1ULP1","W & K CONTAINERS, INC."
"2023/10/18","SPE8ED24P0083","","0002","8150-01-488-6545","7,750.00","2","81VU9","INTREPID EAGLE LOGISTICS INC"
"2023/10/18","SPE8ED24P0083","","0001","8150-01-488-6545","7,750.00","7","81VU9","INTREPID EAGLE LOGISTICS INC"
"2023/01/23","SPE8ED23P0325","","0002","8150-01-488-6545","7,050.00","2","81VU9","INTREPID EAGLE LOGISTICS INC"
"2023/01/23","SPE8ED23P0325","","0001","8150-01-488-6545","7,050.00","2","81VU9","INTREPID EAGLE LOGISTICS INC"
