"Date","Contract","Order","Line","NSN","Price","Qty","Cage","Company"
"2023/06/30","SPE8E523P1213","","0001","4240-01-538-7970","99.65","625","7K9Q4","FATHOM LOGISTICS"
"2023/03/07","SPE8E523P0699","","0001","4240-01-538-7970","97.99","2365","0EFK4","INTERNATIONAL TELEVISION CORP"
"2021/09/09","SPE8E621P1209","","0001","4240-01-538-7970","86.34","2100","3DZM1","ALLIED TOOLS INC."
"2021/05/14","SPE8E621P0900","","0001","4240-01-538-7970","83.75","2165","9C042","FULTON SUPPLY COMPANY"
"2021/02/04","SPE8E621P0541","","0001","4240-01-538-7970","14.10","2639","9C042","FULTON SUPPLY COMPANY"
"2020/12/18","SPE8E621P0374","","0001","4240-01-538-7970","14.19","296","3DZM1","ALLIED TOOLS INC."
"2020/06/22","SPE8E520V2638","","0001","4240-01-538-7970","14.24","2461","9C042","FULTON SUPPLY COMPANY"
"2019/08/27","SPE8E619P0895","","0001","4240-01-538-7970","14.38","1467","9C042","FULTON SUPPLY COMPANY"
"2018/04/12","SPE8EZ18V0390","","0001","4240-01-538-7970","13.48","8909","0WZP3","FISHER, ANA M DBA A&A GLOVE AN"
"2017/10/18","SPE8EZ18P0056","","0001","4240-01-538-7970","13.49","9068","3G966","FROST ELECTRIC SUPPLY COMPANY"
"2017/05/16","SPE8EJ17P0336","","0001","4240-01-538-7970","13.49","5260","3G966","FROST ELECTRIC SUPPLY COMPANY"
"2017/02/06","SPE8EJ17P0207","","0001","4240-01-538-7970","13.74","1594","5HQV0","INTEGRITY CORPORATION, INC. DB"
"2016/12/19","SPE8EH17V0287","","0001","4240-01-538-7970","3.01","1452","1N8T8","JGILS, LLC"
"2016/06/29","SPE8EJ16M0322","","0001","4240-01-538-7970","13.75","2779","4FV92","ACE TOOL REPAIR, INC. DIV ACE"
"2016/06/29","SPE8EJ16M0322","P000","0001","4240-01-538-7970","13.75","2779","4FV92","ACE TOOL REPAIR, INC. DIV ACE"
"2015/05/12","SPE8EH15V0733","","0001","4240-01-538-7970","13.79","1770","5HQV0","INTEGRITY TOOL & FASTENER, INC"
