"Date","Contract","Order","Line","NSN","Price","Qty","Cage","Company"
"2025/11/14","SPE8EF26P0055","","0001","3990-01-574-2050","1,457.50","25","6SD02","NEXGEN COMPOSITES LLC"
"2024/08/20","SPE8EF24P0711","","0001","3990-01-574-2050","1,318.65","150","6SD02","NEXGEN COMPOSITES LLC"
"2024/07/24","SPE8EF24V0646","","0001","3990-01-574-2050","1,388.05","26","6SD02","NEXGEN COMPOSITES LLC"
"2023/11/03","SPE8EF24P0116","","0001","3990-01-574-2050","1,259.00","21","6SD02","NEXGEN COMPOSITES LLC"
"2023/08/30","SPE8EF23P0723","","0001","3990-01-574-2050","1,251.45","55","6SD02","NEXGEN COMPOSITES LLC"
"2023/04/20","SPE8EF23P0348","","0002","3990-01-574-2050","1,215.00","45","6SD02","NEXGEN COMPOSITES LLC"
"2023/04/20","SPE8EF23P0348","","0001","3990-01-574-2050","1,215.00","45","6SD02","NEXGEN COMPOSITES LLC"
"2023/02/27","SPE8EF23P0314","","0001","3990-01-574-2050","1,215.00","8","6SD02","NEXGEN COMPOSITES LLC"
"2023/02/16","SPE8EF23P0286","","0001","3990-01-574-2050","1,259.00","6","6SD02","NEXGEN COMPOSITES LLC"
"2021/10/04","SPE8EF22V0004","","0001","3990-01-574-2050","1,268.18","14","29381","GICHNER SYSTEMS GROUP, INC."
"2021/06/24","SPE8EF21V0457","","0001","3990-01-574-2050","1,495.80","14","6SD02","NEXGEN COMPOSITES LLC"
"2021/03/10","SPE8ED21P0678","","0001","3990-01-574-2050","1,425.00","19","6SD02","NEXGEN COMPOSITES LLC"
"2021/01/15","SPE8ED21P0459","","0001","3990-01-574-2050","1,425.00","16","6SD02","NEXGEN COMPOSITES LLC"
"2020/11/19","SPE8ED21P0279","","0001","3990-01-574-2050","1,350.00","18","6SD02","NEXGEN COMPOSITES LLC"
"2020/08/08","SPE8EF20P0703","","0001","3990-01-574-2050","1,237.50","22","6SD02","NEXGEN COMPOSITES LLC"
"2020/04/20","SPE8EF20P0456","","0001","3990-01-574-2050","1,125.00","101","6SD02","NEXGEN COMPOSITES LLC"
"2020/01/23","SPE8EF20P0248","","0001","3990-01-574-2050","1,148.05","106","29381","GICHNER SYSTEMS GROUP, INC."
"2019/12/16","SPE8EF20V0168","","0001","3990-01-574-2050","2,284.14","69","29381","GICHNER SYSTEMS GROUP, INC."
"2018/07/23","SPE8EF18P1046","","0001","3990-01-574-2050","2,400.00","33","29381","GICHNER SYSTEMS GROUP, INC."
"2018/06/29","SPE8EF18P0960","","0001","3990-01-574-2050","2,416.02","15","29381","GICHNER SYSTEMS GROUP, INC."
"2018/01/30","SPE8EF18P0465","","0001","3990-01-574-2050","2,400.00","25","29381","GICHNER SYSTEMS GROUP, INC. DB"
"2017/12/22","SPE8EF18P0310","","0001","3990-01-574-2050","2,400.00","26","29381","GICHNER SYSTEMS GROUP, INC. DB"
"2017/09/21","SPE7L017P2901","","0001","3990-01-574-2050","1,874.17","1","29381","GICHNER SYSTEMS GROUP, INC. DB"
"2016/12/28","SPE8EF17P0566","","0001","3990-01-574-2050","1,938.00","15","09PD1","CHARLESTON MARINE CONTAINERS I"
"2016/11/17","SPE8EF17P0249","","0001","3990-01-574-2050","1,800.00","7","09PD1","CHARLESTON MARINE CONTAINERS I"
"2016/11/17","SPE8EF17P0255","","0001","3990-01-574-2050","1,800.00","25","09PD1","CHARLESTON MARINE CONTAINERS I"
"2016/11/17","SPE8EF17P0252","","0001","3990-01-574-2050","1,800.00","18","09PD1","CHARLESTON MARINE CONTAINERS I"
"2014/07/30","SPE7L014M3248","","0001","3990-01-574-2050","1,878.90","33","09PD1","CHARLESTON MARINE CONTAINERS I"
"2014/04/01","SPE7LX14M0015","","0001","3990-01-574-2050","1,861.11","64","09PD1","CHARLESTON MARINE CONTAINERS I"
"2014/03/04","SPE8EF14M0204","","0001","3990-01-574-2050","2,027.00","26","09PD1","CHARLESTON MARINE CONTAINERS I"
"2014/02/26","SPE7L114M0424","","0001","3990-01-574-2050","2,359.54","2","09PD1","CHARLESTON MARINE CONTAINERS I"
"2013/10/27","SPM8ED14M0019","","0001","3990-01-574-2050","2,790.31","4","09PD1","CHARLESTON MARINE CONTAINERS I"
"2013/09/26","SPM7L013M7095","","0001","3990-01-574-2050","2,359.54","2","09PD1","CHARLESTON MARINE CONTAINERS I"
