fy,origin,n,paid,fy_n,fy_paid,share_count,share_value
2017,China,2,30944.17,257,6395475.65,0.007782101167,0.004838447004
2017,United States,255,6364531.48,257,6395475.65,0.992217898833,0.995161552996
2018,China,1,36240.3,136,24010149.08,0.007352941176,0.001509374218
2018,United States,135,23973908.78,136,24010149.08,0.992647058824,0.998490625782
2019,China,2,29996.55,149,19328750.01,0.013422818792,0.001551913599
2019,United States,147,19298753.46,149,19328750.01,0.986577181208,0.998448086401
2020,China,215,4788038.57,375,63452301.15,0.573333333333,0.075458864111
2020,Other,4,5326871.0,375,63452301.15,0.010666666667,0.083950793012
2020,South Korea,17,16696917.0,375,63452301.15,0.045333333333,0.263141236762
2020,United States,139,36640474.58,375,63452301.15,0.370666666667,0.577449106115
2021,China,40,1108803.7,269,29309694.88,0.148698884758,0.037830612176
2021,South Korea,38,4627539.0,269,29309694.88,0.14126394052,0.157884243386
2021,Turkey,11,406565.81,269,29309694.88,0.040892193309,0.013871376405
2021,United States,180,23166786.37,269,29309694.88,0.669144981413,0.790413768033
2022,China,72,2549764.0,222,11398341.53,0.324324324324,0.223696052034
2022,South Korea,42,2103980.0,222,11398341.53,0.189189189189,0.184586502735
2022,Turkey,15,935035.38,222,11398341.53,0.067567567568,0.082032581454
2022,United States,93,5809562.15,222,11398341.53,0.418918918919,0.509684863777
2023,China,81,3331960.8,131,7288676.8,0.618320610687,0.457142070012
2023,Other,4,640481.0,131,7288676.8,0.030534351145,0.087873425805
2023,South Korea,33,1309461.0,131,7288676.8,0.251908396947,0.179656889163
2023,United States,13,2006774.0,131,7288676.8,0.099236641221,0.275327615021
2024,China,177,5700420.8,235,37829240.1,0.753191489362,0.150688218556
2024,Other,1,3950.0,235,37829240.1,0.004255319149,0.000104416583
2024,South Korea,32,22495545.0,235,37829240.1,0.136170212766,0.594660240082
2024,United States,25,9629324.3,235,37829240.1,0.106382978723,0.254547124778
2025,China,243,8916313.75,271,15937370.98,0.89667896679,0.559459509425
2025,South Korea,21,1237514.0,271,15937370.98,0.077490774908,0.077648565849
2025,United States,7,5783543.23,271,15937370.98,0.025830258303,0.362891924726
