"treated_nsn","fsg","n_donors_complete","n_donors_same_fsg","n_matched","status"
"2895145543146","28",37330,425,3,"ok"
"3990015742050","39",9335,24,3,"ok"
"4240015387970","42",17583,384,3,"ok"
"4510015272274","45",10598,33,3,"ok"
"8150014633177","81",10255,89,3,"ok"
"8150014638553","81",8736,93,3,"ok"
"8150014638555","81",11382,96,3,"ok"
"8150014813740","81",12328,100,3,"ok"
"8150014813741","81",10075,89,3,"ok"
"8150014839115","81",9454,84,3,"ok"
"8150014839121","81",19470,149,3,"ok"
"8150014839123","81",5447,54,3,"ok"
"8150014839125","81",13645,101,3,"ok"
"8150014886545","81",122224,474,0,"treated_row_has_non_finite_covariate:mean_domestic_share,mean_pre_offers"
"8150014912678","81",10365,93,3,"ok"
"8150015012741","81",9836,84,3,"ok"
"8150015134913","81",10873,93,3,"ok"
"8150015148414","81",5447,54,3,"ok"
"8150015338673","81",10873,93,3,"ok"
"8150015338674","81",10021,90,3,"ok"
"8150015338675","81",9464,83,3,"ok"
"8150015338677","81",10873,93,3,"ok"
"8150015737424","81",34222,248,3,"ok"
"8150015741682","81",12328,100,3,"ok"
