"Means Treated","Means Control","Std. Mean Diff.","Var. Ratio","eCDF Mean","eCDF Max","Std. Pair Dist.","treated_nsn","covariate","stage"
0,6.742224,-6.330633,NA,0.50065,1,NA,"2895145543146","distance","before"
0.336472,1.252885,-1.096569,NA,0.032679,0.953496,NA,"2895145543146","log_n_transactions_per_fy","before"
8.320598,4.77809,1.31583,NA,0.428075,0.920038,NA,"2895145543146","mean_max_log_unit_price","before"
1,0.953962,0.273124,NA,0.070371,0.109617,NA,"2895145543146","mean_domestic_share","before"
24.5,4.048596,5.554424,NA,0.602512,0.995232,NA,"2895145543146","mean_pre_offers","before"
0,0.62406,-0.585963,NA,5.4e-05,1,0.585963,"2895145543146","distance","after"
0.336472,0.658027,-0.384769,NA,0.003623,1,0.384769,"2895145543146","log_n_transactions_per_fy","after"
8.320598,7.603264,0.266446,NA,0.065277,1,0.266446,"2895145543146","mean_max_log_unit_price","after"
1,1,0,NA,0,0,0,"2895145543146","mean_domestic_share","after"
24.5,23.683333,0.2218,NA,0.002819,1,0.2218,"2895145543146","mean_pre_offers","after"
0,3.864549,-3.572923,NA,0.5,1,NA,"3990015742050","distance","before"
1.481605,2.024452,-0.514183,NA,0.077121,0.594858,NA,"3990015742050","log_n_transactions_per_fy","before"
7.39927,4.563173,1.034599,NA,0.374856,0.852384,NA,"3990015742050","mean_max_log_unit_price","before"
0.395833,0.967722,-4.120807,NA,0.796342,0.979432,NA,"3990015742050","mean_domestic_share","before"
2.083333,4.152464,-0.476262,NA,0.300898,0.64617,NA,"3990015742050","mean_pre_offers","before"
0,0.514815,-0.475966,NA,0.000214,1,0.475966,"3990015742050","distance","after"
1.481605,1.384456,0.092019,NA,0.006199,0.666667,0.197507,"3990015742050","log_n_transactions_per_fy","after"
7.39927,7.459592,-0.022005,NA,0.084249,0.666667,0.3064,"3990015742050","mean_max_log_unit_price","after"
0.395833,0.422449,-0.191782,NA,0.013533,1,0.191782,"3990015742050","mean_domestic_share","after"
2.083333,2.018188,0.014995,NA,0.105087,0.666667,0.103289,"3990015742050","mean_pre_offers","after"
0,2.705687,-2.203284,NA,0.499983,1,NA,"4240015387970","distance","before"
0.788457,1.705853,-0.976354,NA,0.05491,0.926577,NA,"4240015387970","log_n_transactions_per_fy","before"
2.199117,4.801445,-0.968102,NA,0.363266,0.836205,NA,"4240015387970","mean_max_log_unit_price","before"
1,0.961608,0.255624,NA,0.065975,0.114315,NA,"4240015387970","mean_domestic_share","before"
8.375,4.147576,1.054919,NA,0.441967,0.902576,NA,"4240015387970","mean_pre_offers","before"
0,0.146438,-0.119247,NA,0.000114,1,0.119247,"4240015387970","distance","after"
0.788457,0.785691,0.002944,NA,0.000922,0.333333,0.06468,"4240015387970","log_n_transactions_per_fy","after"
2.199117,2.066093,0.049487,NA,0.011669,0.666667,0.060321,"4240015387970","mean_max_log_unit_price","after"
1,1,0,NA,0,0,0,"4240015387970","mean_domestic_share","after"
8.375,8.616667,-0.060306,NA,0.007931,1,0.060306,"4240015387970","mean_pre_offers","after"
0,4.997645,-5.304282,NA,0.500036,1,NA,"4510015272274","distance","before"
1.029619,1.934046,-0.863933,NA,0.075297,0.857615,NA,"4510015272274","log_n_transactions_per_fy","before"
5.881545,4.614821,0.464917,NA,0.275814,0.660219,NA,"4510015272274","mean_max_log_unit_price","before"
0.4,0.966864,-4.053086,NA,0.795183,0.978109,NA,"4510015272274","mean_domestic_share","before"
14.8,4.228976,2.475337,NA,0.533009,0.968956,NA,"4510015272274","mean_pre_offers","before"
0,0.816149,-0.866225,NA,0.000189,1,0.866225,"4510015272274","distance","after"
1.029619,1.154411,-0.119204,NA,0.002874,0.666667,0.119204,"4510015272274","log_n_transactions_per_fy","after"
5.881545,6.995084,-0.408695,NA,0.187897,0.666667,0.562455,"4510015272274","mean_max_log_unit_price","after"
0.4,0.417593,-0.125787,NA,0.0199,0.666667,0.430325,"4510015272274","mean_domestic_share","after"
14.8,13.752315,0.245328,NA,0.009496,1,0.245328,"4510015272274","mean_pre_offers","after"
0,3.993265,-4.51936,NA,0.500082,1,NA,"8150014633177","distance","before"
2.76001,2.040313,0.652592,NA,0.102603,0.797367,NA,"8150014633177","log_n_transactions_per_fy","before"
8.573356,4.61716,1.466738,NA,0.451814,0.946953,NA,"8150014633177","mean_max_log_unit_price","before"
0.459829,0.967328,-3.705119,NA,0.795038,0.976499,NA,"8150014633177","mean_domestic_share","before"
3.194327,4.541518,-0.293791,NA,0.264593,0.513213,NA,"8150014633177","mean_pre_offers","before"
0,0.944797,-1.06927,NA,0.000195,1,1.06927,"8150014633177","distance","after"
2.76001,2.718837,0.037334,NA,0.025742,0.666667,0.239182,"8150014633177","log_n_transactions_per_fy","after"
8.573356,8.055808,0.191878,NA,0.037237,1,0.191878,"8150014633177","mean_max_log_unit_price","after"
0.459829,0.373766,0.628323,NA,0.032694,1,0.628323,"8150014633177","mean_domestic_share","after"
3.194327,1.039658,0.469884,NA,0.435649,1,0.469884,"8150014633177","mean_pre_offers","after"
0,3.216852,-3.249281,NA,0.499901,1,NA,"8150014638553","distance","before"
2.833213,2.226549,0.527378,NA,0.110483,0.75538,NA,"8150014638553","log_n_transactions_per_fy","before"
8.729995,4.420242,1.594896,NA,0.463074,0.960279,NA,"8150014638553","mean_max_log_unit_price","before"
0.726925,0.974062,-1.984155,NA,0.635175,0.968292,NA,"8150014638553","mean_domestic_share","before"
3.860761,4.291918,-0.096433,NA,0.289811,0.624428,NA,"8150014638553","mean_pre_offers","before"
0,1.198216,-1.210295,NA,0.000229,1,1.210295,"8150014638553","distance","after"
2.833213,3.058597,-0.195928,NA,0.028838,1,0.195928,"8150014638553","log_n_transactions_per_fy","after"
8.729995,6.588933,0.792336,NA,0.18498,1,0.792336,"8150014638553","mean_max_log_unit_price","after"
0.726925,0.774802,-0.38438,NA,0.071259,0.666667,0.585264,"8150014638553","mean_domestic_share","after"
3.860761,2.420259,0.322185,NA,0.257888,1,0.322185,"8150014638553","mean_pre_offers","after"
0,4.350915,-4.860264,NA,0.499963,1,NA,"8150014638555","distance","before"
2.219203,2.076847,0.128765,NA,0.078001,0.676946,NA,"8150014638555","log_n_transactions_per_fy","before"
9.172861,4.569083,1.72968,NA,0.477424,0.975312,NA,"8150014638555","mean_max_log_unit_price","before"
0.347403,0.971021,-4.802153,NA,0.827213,0.983746,NA,"8150014638555","mean_domestic_share","before"
3.893321,4.362563,-0.104371,NA,0.283326,0.615445,NA,"8150014638555","mean_pre_offers","before"
0,0.767699,-0.857572,NA,0.000176,1,0.857572,"8150014638555","distance","after"
2.219203,2.181231,0.034347,NA,0.002856,0.666667,0.047316,"8150014638555","log_n_transactions_per_fy","after"
9.172861,8.049403,0.422093,NA,0.065993,1,0.422093,"8150014638555","mean_max_log_unit_price","after"
0.347403,0.362698,-0.117785,NA,0.030303,0.666667,0.568924,"8150014638555","mean_domestic_share","after"
3.893321,3.327252,0.125907,NA,0.196991,0.666667,0.29354,"8150014638555","mean_pre_offers","after"
0,4.577097,-4.660794,NA,0.500004,1,NA,"8150014813740","distance","before"
1.568616,1.813982,-0.248628,NA,0.061034,0.532284,NA,"8150014813740","log_n_transactions_per_fy","before"
8.885159,4.82875,1.498812,NA,0.454604,0.951249,NA,"8150014813740","mean_max_log_unit_price","before"
0.236111,0.959816,-4.606514,NA,0.827785,0.97964,NA,"8150014813740","mean_domestic_share","before"
2,4.01203,-0.50044,NA,0.305191,0.646334,NA,"8150014813740","mean_pre_offers","before"
0,0.544248,-0.5542,NA,0.000162,1,0.5542,"8150014813740","distance","after"
1.568616,1.579504,-0.011033,NA,0.002941,0.666667,0.068533,"8150014813740","log_n_transactions_per_fy","after"
8.885159,8.918489,-0.012315,NA,0.024688,0.666667,0.155857,"8150014813740","mean_max_log_unit_price","after"
0.236111,0.215741,0.129661,NA,0.039406,0.666667,0.54222,"8150014813740","mean_domestic_share","after"
2,1.553759,0.110991,NA,0.15327,0.666667,0.178354,"8150014813740","mean_pre_offers","after"
0,3.771028,-3.862206,NA,0.500049,1,NA,"8150014813741","distance","before"
2.595255,1.995144,0.577802,NA,0.095115,0.784218,NA,"8150014813741","log_n_transactions_per_fy","before"
8.938209,4.62698,1.605934,NA,0.46778,0.965161,NA,"8150014813741","mean_max_log_unit_price","before"
0.515385,0.966601,-3.251026,NA,0.751739,0.973102,NA,"8150014813741","mean_domestic_share","before"
2.567532,4.529817,-0.414988,NA,0.275496,0.589876,NA,"8150014813741","mean_pre_offers","before"
0,1.065985,-1.091759,NA,0.000199,1,1.091759,"8150014813741","distance","after"
2.595255,2.380045,0.207209,NA,0.029566,0.666667,0.344667,"8150014813741","log_n_transactions_per_fy","after"
8.938209,8.547059,0.145704,NA,0.030672,0.666667,0.2092,"8150014813741","mean_max_log_unit_price","after"
0.515385,0.388266,0.91589,NA,0.049096,1,0.91589,"8150014813741","mean_domestic_share","after"
2.567532,2.159864,0.086214,NA,0.317441,0.666667,0.355792,"8150014813741","mean_pre_offers","after"
0,2.675733,-1.762062,NA,0.500112,1,NA,"8150014839115","distance","before"
1.223775,2.019722,-0.756862,NA,0.081712,0.824307,NA,"8150014839115","log_n_transactions_per_fy","before"
