"treated_nsn","delta_treated","pre_treated","post_treated","delta_donor","n_donors","sum_w","tau","outcome","post_label","post_threshold"
"2895145543146",-0.000575639797226302,8.32059756116917,8.32002192137195,0.372960001599926,3,3,-0.373535641397152,"max_log_unit_price","headline",0
"3990015742050",-0.20170420521686,7.39927027365633,7.19756606843947,0.291066216792912,3,3,-0.492770422009772,"max_log_unit_price","headline",0
"4240015387970",0.610887690169359,2.19911723345584,2.8100049236252,0.266755640207081,3,3,0.344132049962278,"max_log_unit_price","headline",0
"4510015272274",0.229273479696275,5.88154513282101,6.11081861251729,0.496032581883551,3,3,-0.266759102187276,"max_log_unit_price","headline",0
"8150014633177",0.280195944814883,8.57335580752471,8.85355175233959,0.447037970742124,3,3,-0.166842025927241,"max_log_unit_price","headline",0
"8150014638553",0.22775803600614,8.72999485695853,8.95775289296467,0.328261318811203,3,3,-0.100503282805063,"max_log_unit_price","headline",0
"8150014638555",0.146781322899072,9.17286126470318,9.31964258760225,0.45280755941751,3,3,-0.306026236518438,"max_log_unit_price","headline",0
"8150014813740",0.515415407763868,8.88515946464924,9.40057487241311,0.231844270025073,3,3,0.283571137738795,"max_log_unit_price","headline",0
"8150014813741",0.28951032323118,8.93820920754563,9.22771953077681,0.494586138684472,3,3,-0.205075815453292,"max_log_unit_price","headline",0
"8150014839115",0.0916516945437369,8.63643768652483,8.72808938106856,0.341145767278181,3,3,-0.249494072734445,"max_log_unit_price","headline",0
"8150014839121",0.380892365708945,8.84384388655097,9.22473625225991,0.239488715720951,3,3,0.141403649987994,"max_log_unit_price","headline",0
"8150014839123",0.159080036801605,8.88118903496988,9.04026907177149,0.25190600281146,3,3,-0.0928259660098553,"max_log_unit_price","headline",0
"8150014839125",0.0789503813335877,8.94461738477631,9.0235677661099,0.0893061436276508,3,3,-0.0103557622940631,"max_log_unit_price","headline",0
"8150014912678",-0.019925790445928,9.24077965335507,9.22085386290914,0.447037970742124,3,3,-0.466963761188052,"max_log_unit_price","headline",0
"8150015012741",0.143110175320471,9.14982516276879,9.29293533808926,0.420386347963402,3,3,-0.27727617264293,"max_log_unit_price","headline",0
"8150015134913",0.161351613228716,9.47136764537032,9.63271925859904,0.231844270025073,3,3,-0.0704926567963575,"max_log_unit_price","headline",0
"8150015148414",0.0351066338825667,9.26082914501028,9.29593577889285,0.383825734613197,3,3,-0.34871910073063,"max_log_unit_price","headline",0
"8150015338673",-0.0806853382703459,8.96084375320388,8.88015841493354,0.377091009997858,3,3,-0.457776348268204,"max_log_unit_price","headline",0
"8150015338674",0.0794583445323926,8.87351751130102,8.95297585583341,0.211001323025691,3,3,-0.131542978493298,"max_log_unit_price","headline",0
"8150015338675",0.121506957617624,8.67007603021,8.79158298782762,0.26587635277061,3,3,-0.144369395152986,"max_log_unit_price","headline",0
"8150015338677",-0.0439654950593447,8.83842576132387,8.79446026626453,0.0961231322860604,3,3,-0.140088627345405,"max_log_unit_price","headline",0
"8150015737424",-0.309908325198009,9.35761211369664,9.04770378849863,0.283542028614743,3,3,-0.593450353812752,"max_log_unit_price","headline",0
"8150015741682",0.104623423032901,8.88214012401976,8.98676354705266,0.354502208838323,3,3,-0.249878785805421,"max_log_unit_price","headline",0
"2895145543146",-21.5,24.5,3,-8.08333333333333,3,3,-13.4166666666667,"mean_offers","headline",0
"3990015742050",-0.583333333333333,2.08333333333333,1.5,0.0962962962962963,3,3,-0.67962962962963,"mean_offers","headline",0
"4240015387970",10.125,8.375,18.5,0.5,3,3,9.625,"mean_offers","headline",0
"4510015272274",-5.46666666666667,14.8,9.33333333333333,-4.95119047619048,3,3,-0.51547619047619,"mean_offers","headline",0
"8150014633177",-0.567342641255685,3.19432676823981,2.62698412698413,-0.0339109932213381,3,3,-0.533431648034347,"mean_offers","headline",0
"8150014638553",-0.451906702898551,3.86076086956522,3.40885416666667,0.569015151515151,1,1,-1.0209218544137,"mean_offers","headline",0
"8150014638555",-1.11951144094001,3.89332096474954,2.77380952380952,-0.353618955999908,3,3,-0.765892484940104,"mean_offers","headline",0
"8150014813740",0.373737373737374,2,2.37373737373737,-0.197585978835979,3,3,0.571323352573353,"mean_offers","headline",0
"8150014813741",-0.534199134199134,2.56753246753247,2.03333333333333,-0.0211447811447811,3,3,-0.513054353054353,"mean_offers","headline",0
"8150014839115",1.03809523809524,2.26190476190476,3.3,0.00634920634920644,2,2,1.03174603174603,"mean_offers","headline",0
"8150014839121",0.385416666666667,2.11458333333333,2.5,-0.229759327973614,2,2,0.61517599464028,"mean_offers","headline",0
"8150014839123",0.821286370634197,2.19458319458319,3.01586956521739,-0.121173469387755,2,2,0.942459840021952,"mean_offers","headline",0
"8150014839125",-0.00247252747252746,2.53580586080586,2.53333333333333,-0.244791666666667,2,2,0.242319139194139,"mean_offers","headline",0
"8150014912678",-0.79426523297491,4.23870967741935,3.44444444444444,-0.0339109932213381,3,3,-0.760354239753572,"mean_offers","headline",0
"8150015012741",-0.660510662177329,2.67606621773288,2.01555555555556,-0.012987012987013,3,3,-0.647523649190316,"mean_offers","headline",0
"8150015134913",-0.375,2.95833333333333,2.58333333333333,-0.197585978835979,3,3,-0.177414021164021,"mean_offers","headline",0
"8150015148414",-0.650614439324117,3.10061443932412,2.45,-0.714115646258503,3,3,0.0635012069343867,"mean_offers","headline",0
"8150015338673",0.302817535725144,2.61384913094152,2.91666666666667,-0.000555555555555568,3,3,0.3033730912807,"mean_offers","headline",0
"8150015338674",-0.758257020757021,3.37075702075702,2.6125,-0.90952380952381,3,3,0.151266788766789,"mean_offers","headline",0
"8150015338675",0.298888888888889,2.54166666666667,2.84055555555556,-0.0920304232804231,3,3,0.390919312169312,"mean_offers","headline",0
"8150015338677",-0.402124183006536,2.9437908496732,2.54166666666667,-0.15952380952381,3,3,-0.242600373482727,"mean_offers","headline",0
"8150015737424",1.5,1.5,3,-0.974074074074074,3,3,2.47407407407407,"mean_offers","headline",0
"8150015741682",-0.0083333333333333,2.39351851851852,2.38518518518519,-0.197585978835979,3,3,0.189252645502646,"mean_offers","headline",0
"2895145543146",-1,1,0,-0.166666666666667,3,3,-0.833333333333333,"domestic_share","headline",0
"3990015742050",-0.395833333333333,0.395833333333333,0,-0.0185185185185185,3,3,-0.377314814814815,"domestic_share","headline",0
"4240015387970",-1,1,0,0,3,3,-1,"domestic_share","headline",0
"4510015272274",-0.0666666666666667,0.4,0.333333333333333,0,3,3,-0.0666666666666667,"domestic_share","headline",0
"8150014633177",-0.45982905982906,0.45982905982906,0,-0.358447606315253,3,3,-0.101381453513806,"domestic_share","headline",0
"8150014638553",-0.680050465838509,0.726925465838509,0.046875,-0.201893939393939,3,3,-0.47815652644457,"domestic_share","headline",0
"8150014638555",-0.347402597402597,0.347402597402597,0,-0.45911920323685,3,3,0.111716605834253,"domestic_share","headline",0
"8150014813740",-0.0694444444444444,0.236111111111111,0.166666666666667,-0.197222222222222,3,3,0.127777777777778,"domestic_share","headline",0
"8150014813741",-0.515384615384615,0.515384615384615,0,-0.307460839813781,3,3,-0.207923775570834,"domestic_share","headline",0
"8150014839115",-0.857142857142857,0.857142857142857,0,0,3,3,-0.857142857142857,"domestic_share","headline",0
"8150014839121",-1,1,0,0,3,3,-1,"domestic_share","headline",0
"8150014839123",-0.715384615384615,0.715384615384615,0,0,3,3,-0.715384615384615,"domestic_share","headline",0
"8150014839125",-0.587912087912088,0.587912087912088,0,-0.0972222222222222,3,3,-0.490689865689866,"domestic_share","headline",0
"8150014912678",-0.186666666666667,0.52,0.333333333333333,-0.358447606315253,3,3,0.171780939648587,"domestic_share","headline",0
"8150015012741",-0.563535353535354,0.603535353535354,0.04,-0.302338674970254,3,3,-0.2611966785651,"domestic_share","headline",0
"8150015134913",-0.15,0.15,0,-0.197222222222222,3,3,0.0472222222222222,"domestic_share","headline",0
"8150015148414",-0.692780337941628,0.692780337941628,0,-0.222222222222222,3,3,-0.470558115719406,"domestic_share","headline",0
"8150015338673",-0.446042046721395,0.446042046721395,0,-0.134968481810587,3,3,-0.311073564910808,"domestic_share","headline",0
"8150015338674",-0.497466422466422,0.722466422466422,0.225,0,3,3,-0.497466422466422,"domestic_share","headline",0
"8150015338675",-0.65,0.65,0,-0.142361111111111,3,3,-0.507638888888889,"domestic_share","headline",0
"8150015338677",-0.719444444444444,0.719444444444444,0,0,3,3,-0.719444444444444,"domestic_share","headline",0
"8150015737424",-0.5,0.5,0,-0.544444444444444,3,3,0.0444444444444444,"domestic_share","headline",0
"8150015741682",-0.333333333333333,0.333333333333333,0,-0.189141414141414,3,3,-0.144191919191919,"domestic_share","headline",0
"3990015742050",-0.114792355431682,7.39927027365633,7.28447791822465,0.306103951038059,3,3,-0.420896306469741,"max_log_unit_price","ey2plus",2
"4510015272274",0.270740653523787,5.88154513282101,6.1522857863448,0.54756750712858,3,3,-0.276826853604793,"max_log_unit_price","ey2plus",2
"8150014633177",0.00756307477207052,8.57335580752471,8.58091888229678,0.513043378741344,3,3,-0.505480303969274,"max_log_unit_price","ey2plus",2
"8150014638553",0.115660676563499,8.72999485695853,8.84565553352203,0.376925011495862,3,3,-0.261264334932363,"max_log_unit_price","ey2plus",2
"8150014638555",0.251622276389915,9.17286126470318,9.42448354109309,0.484055363909479,3,3,-0.232433087519565,"max_log_unit_price","ey2plus",2
"8150014813741",0.491828785340465,8.93820920754563,9.43003799288609,0.621391119234048,3,3,-0.129562333893583,"max_log_unit_price","ey2plus",2
"8150014839115",0.0276031085239872,8.63643768652483,8.66404079504881,0.365887735997754,3,3,-0.338284627473766,"max_log_unit_price","ey2plus",2
