"treated_nsn","outcome","att","placebo_se","ci_lo","ci_hi","asymp_p","empirical_p","pre_rmspe","weight_hhi","n_balanced_pool","n_active","n_pre_eys","n_post_eys","n_placebo_used","wall_sec","error"
"3990015742050","domestic_share",-0.230925022989357,0.0921215922847087,-0.411483343867386,-0.0503667021113275,0.012184977052494,0.04,0.000917590854335336,0.00847668617230369,11769,224,5,3,200,4565.93559098244,NA
"3990015742050","max_log_unit_price",-0.219153455028237,0.358527009097909,-0.921866392860139,0.483559482803666,0.541027032783648,0.295,0.00048330414791207,0.000572781460672338,14568,3859,5,3,200,6280.39764308929,NA
"3990015742050","mean_offers",-0.182219639374472,2.22784102368844,-4.54878804580382,4.18434876705487,0.934812094145853,0.76,0.00710613106882153,0.000769832097672596,2554,1965,5,3,200,693.244544029236,NA
"4240015387970","domestic_share",-1.00005935053857,0.139200280696663,-1.27289190070403,-0.727226800373107,6.75459688181945e-13,0.005,2.7359366241702e-06,0.000120545417492537,23846,8804,4,1,200,9579.26631808281,NA
"4240015387970","max_log_unit_price",0.909358957281558,0.364683044408894,0.194580190240125,1.62413772432299,0.0126469300534053,0.045,0.00162523515963319,0.005300665889317,25351,471,4,1,200,9870.47348880768,NA
"4240015387970","mean_offers",8.46493128908412,2.4233177988516,3.71522840333497,13.2146341748333,0.000477418251150663,0.01,0.04537217260058,0.0111913194991571,7304,185,4,1,200,3038.2400560379,NA
"4510015272274","domestic_share",-0.094278100609035,0.0645129848133786,-0.220723550843257,0.0321673496251869,0.143910697881442,0.055,0.00039866100908724,0.00530779023964762,13596,1227,4,3,200,5717.25901317596,NA
"4510015272274","max_log_unit_price",-0.0541114755494906,0.497601089964249,-1.02940961187942,0.921186660780437,0.913404995670409,0.86,3.90444022887637e-05,0.000114858262017622,16273,9095,4,3,200,6973.48302221298,NA
"4510015272274","mean_offers",-4.96720074128197,2.18497363299838,-9.24974906195878,-0.684652420605148,0.0230053465554811,0.02,0.0125119612347756,0.00134105487287413,3235,1296,4,3,200,813.204511880875,NA
"8150014633177","domestic_share",-0.266349329594625,0.0940040061026183,-0.450597181555757,-0.0821014776334935,0.00460582006860544,0.045,0.00615751880011214,0.0261980978796272,14049,61,5,3,200,5617.58116102219,NA
"8150014633177","max_log_unit_price",-0.154963383876942,0.331533093805729,-0.804768247736172,0.494841479982287,0.640203331908629,0.435,0.000494342788130969,0.000573264487872489,15548,3552,5,3,200,5397.47492098808,NA
"8150014633177","mean_offers",-0.271797123088844,1.73111406996581,-3.66478070022183,3.12118645404414,0.875239287480683,0.685,0.0148545919206333,0.000794970493179069,2974,1927,5,3,200,899.990126132965,NA
"8150014638553","domestic_share",-0.57222634629592,0.0638830644424516,-0.697437152603125,-0.447015539988715,0,0,0.00134570691474001,0.0139110473556412,7440,128,5,4,200,2802.26959204674,NA
"8150014638553","max_log_unit_price",-0.179260332490129,0.374643048997201,-0.913560708524643,0.555040043544386,0.632306466428868,0.355,0.000567063625541163,0.000399197341535565,11585,4639,5,4,200,4543.3265850544,NA
"8150014638553","mean_offers",0.464414923281743,1.83583354877164,-3.13381883231067,4.06264867887416,0.800289665660328,0.605,0.0642983234876941,0.00387132045212033,1694,608,5,4,200,555.518710851669,NA
"8150014638555","domestic_share",-0.227946854564219,0.0739722512251596,-0.372932466965532,-0.0829612421629059,0.00205947735310974,0.035,0.00984825774576047,0.0371701155472201,13728,41,5,3,200,5917.77002000809,NA
"8150014638555","max_log_unit_price",-0.153804832382293,0.305906157272994,-0.75338090063736,0.445771235872775,0.615115888826991,0.415,0.000578320393428993,0.000549263550020224,15525,3653,5,3,200,6477.4342520237,NA
"8150014638555","mean_offers",-0.982487214296566,1.59149711606888,-4.10182156179158,2.13684713319845,0.53701364391717,0.33,0.0182494931023886,0.00102621395672519,3132,1802,5,3,200,999.861334085464,NA
"8150014813740","domestic_share",-0.296126450160766,0.0564711432940782,-0.406809891017159,-0.185443009304372,1.57256358823687e-07,0.015,0.0237246354800581,0.0958194033243125,15860,32,4,2,200,6042.8210580349,NA
"8150014813740","max_log_unit_price",0.160429188730034,0.45413601423923,-0.729677399178856,1.05053577663892,0.723891713874103,0.3,0.000239199605214586,0.000306381492131677,19028,5373,4,2,200,7341.16203999519,NA
"8150014813740","mean_offers",0.640678940938525,4.74067960327759,-8.65105308148556,9.9324109633626,0.892497265688381,0.48,0.000387598739430973,0.000242872097541371,4328,4324,4,2,200,1444.25721096992,NA
"8150014813741","domestic_share",-0.294369864305086,0.101461699955579,-0.49323479621802,-0.0955049323921514,0.00371629205247692,0.035,0.00735425517747384,0.0334885226218638,13905,42,5,3,200,6391.78850889206,NA
"8150014813741","max_log_unit_price",-0.0979352303709049,0.332933994840004,-0.750485860257312,0.554615399515502,0.768637098502448,0.67,0.000709406148224758,0.000645398580076765,15510,3182,5,3,200,6569.91723394394,NA
"8150014813741","mean_offers",-0.0145128610733944,1.88560699359283,-3.71030256851534,3.68127684636855,0.993859020730325,0.99,0.00599055653436954,0.000482283811125431,2927,2395,5,3,200,765.931616067886,NA
"8150014839115","domestic_share",-0.381679591188577,0.0833606976351066,-0.545066558553386,-0.218292623823768,4.67982938223699e-06,0.015,0.00957039995364596,0.0413821386066681,12202,34,5,3,200,5538.70664906502,NA
"8150014839115","max_log_unit_price",-0.112159829420226,0.318051544136028,-0.735540855926841,0.511221197086389,0.724353317829285,0.525,0.000658654232733907,0.000635411965256132,14743,3766,5,3,200,5910.7616610527,NA
"8150014839115","mean_offers",1.04025296638975,1.60687036218184,-2.10921294348666,4.18971887626616,0.517387151586974,0.305,0.0267989675311986,0.00317491591065107,2613,653,5,3,200,801.729211091995,NA
