"Means Treated","Means Control","Std. Mean Diff.","Var. Ratio","eCDF Mean","eCDF Max","Std. Pair Dist.","treated_nsn","covariate","stage"
0,2.638363,-1.976285,NA,0.500052,1,NA,"1660016004909","distance","before"
0.182322,0.957162,-1.005142,NA,0.021592,0.902684,NA,"1660016004909","log_n_transactions_per_fy","before"
9.607437,4.721299,1.829013,NA,0.496452,0.982811,NA,"1660016004909","mean_max_log_unit_price","before"
1,0.949907,0.273169,NA,0.070356,0.10096,NA,"1660016004909","mean_domestic_share","before"
1,4.11497,-0.843862,NA,0.38535,0.830753,NA,"1660016004909","mean_pre_offers","before"
0,0.004581,-0.003432,NA,3.2e-05,1,0.003432,"1660016004909","distance","after"
0.182322,0.182322,0,NA,0,0,0,"1660016004909","log_n_transactions_per_fy","after"
9.607437,9.60719,9.2e-05,NA,3e-04,0.666667,0.004515,"1660016004909","mean_max_log_unit_price","after"
1,1,0,NA,0,0,0,"1660016004909","mean_domestic_share","after"
1,1,0,NA,0,0,0,"1660016004909","mean_pre_offers","after"
0,6.404131,-6.321538,NA,0.500646,1,NA,"2895145543146","distance","before"
0.336472,1.252988,-1.096486,NA,0.032687,0.953496,NA,"2895145543146","log_n_transactions_per_fy","before"
8.320598,4.778096,1.315822,NA,0.428075,0.920038,NA,"2895145543146","mean_max_log_unit_price","before"
1,0.95396,0.27313,NA,0.070372,0.109617,NA,"2895145543146","mean_domestic_share","before"
24.5,4.048585,5.554468,NA,0.602396,0.995232,NA,"2895145543146","mean_pre_offers","before"
0,0.58164,-0.574138,NA,5.4e-05,1,0.574138,"2895145543146","distance","after"
0.336472,0.658027,-0.384696,NA,0.003623,1,0.384696,"2895145543146","log_n_transactions_per_fy","after"
8.320598,7.603264,0.266445,NA,0.065277,1,0.266445,"2895145543146","mean_max_log_unit_price","after"
1,1,0,NA,0,0,0,"2895145543146","mean_domestic_share","after"
24.5,23.683333,0.221801,NA,0.002818,1,0.221801,"2895145543146","mean_pre_offers","after"
0,3.931734,-3.995515,NA,0.5,1,NA,"3990015742050","distance","before"
