"treated_nsn","delta_treated","pre_treated","post_treated","delta_donor","n_donors","sum_w","tau","outcome","post_label","post_threshold"
"1660016004909",0.0119810806096385,9.60743723041383,9.61941831102347,0.379427803404105,3,3,-0.367446722794466,"max_log_unit_price","headline",0
"2895145543146",-0.0198511715356169,8.32059756116917,8.30074638963356,0.32194957279167,3,3,-0.341800744327287,"max_log_unit_price","headline",0
"3990015742050",-0.20170420521686,7.39927027365633,7.19756606843947,0.271812680943869,3,3,-0.473516886160729,"max_log_unit_price","headline",0
"4240015387970",2.29506414764866,2.28980128499907,4.58486543264773,0.528631634591456,3,3,1.76643251305721,"max_log_unit_price","headline",0
"4510015272274",0.271327499566905,5.88154513282101,6.15287263238792,0.271261683535002,3,3,6.58160319038648e-05,"max_log_unit_price","headline",0
"8150014633177",0.280195944814883,8.57335580752471,8.85355175233959,0.447037970742124,3,3,-0.166842025927241,"max_log_unit_price","headline",0
"8150014638553",0.206503278868681,8.77233807685177,8.97884135572045,0.261602164189719,3,3,-0.0550988853210388,"max_log_unit_price","headline",0
"8150014638555",0.146781322899072,9.17286126470318,9.31964258760225,0.294634112476224,3,3,-0.147852789577152,"max_log_unit_price","headline",0
"8150014813740",0.569588992513696,8.88779147885602,9.45738047136971,0.370116657940038,3,3,0.199472334573658,"max_log_unit_price","headline",0
"8150014813741",0.28951032323118,8.93820920754563,9.22771953077681,0.421275758832402,3,3,-0.131765435601222,"max_log_unit_price","headline",0
"8150014839115",0.0916516945437369,8.63643768652483,8.72808938106856,-0.272209088082437,3,3,0.363860782626173,"max_log_unit_price","headline",0
"8150014839121",0.380892365708945,8.84384388655097,9.22473625225991,0.450279253947532,3,3,-0.0693868882385864,"max_log_unit_price","headline",0
"8150014839123",0.159080036801605,8.88118903496988,9.04026907177149,0.283528787196551,3,3,-0.124448750394946,"max_log_unit_price","headline",0
"8150014839125",0.0789503813335877,8.94461738477631,9.0235677661099,0.373348601919083,3,3,-0.294398220585496,"max_log_unit_price","headline",0
"8150014886545",-0.00342204316775785,9.25435686232193,9.25093481915417,0.266384885474754,3,3,-0.269806928642512,"max_log_unit_price","headline",0
"8150014912678",-0.019925790445928,9.24077965335507,9.22085386290914,0.222775231048569,3,3,-0.242701021494497,"max_log_unit_price","headline",0
