NSN,BASE_PIID,mod_n,line_n,AWARD_DATE,_n,_nq,_np,_no
1240015816621,SPE7L121F495M,P00001,1,2021-03-29,2,1,2,1
1430012955391,SPE7M121FAM7L,BASE,1,2021-09-10,2,1,2,1
1560009597743,SPE4A721F2726,BASE,1,2021-04-28,2,2,1,1
1560010878961,SPM5E120FA19V,P00001,1,2020-06-04,2,1,2,1
1560014668214,SPE4A622FA3MG,BASE,1,2021-11-24,2,2,1,1
1560014692471,SPE4A520F007W,BASE,1,2020-02-18,2,1,2,1
1560014953641,SPE4A520F007S,BASE,1,2020-02-18,2,1,2,1
1560014953642,SPE4A520F007T,BASE,1,2020-02-18,2,1,2,1
1560015296638,SPE4A520F228X,BASE,1,2020-05-14,2,1,2,1
1560015519035,SPE4A620F7814,BASE,1,2020-02-20,2,1,2,1
1560015519035,SPE4A620F7814,BASE,2,2020-02-20,2,1,2,1
1620003079342,SPEHA620F1083,BASE,1,2020-06-04,2,1,2,1
1620010121423,SPEHA620F0918,P00001,1,2020-03-20,2,1,2,1
1680014931981,SPE4A720P5651,BASE,1,2020-02-06,3,2,1,1
1680015008202,SPE4A520F227A,BASE,1,2020-05-14,2,1,2,1
1680015117805,SPE4A520F160P,P00001,1,2020-04-16,3,1,2,1
1680015117805,SPE4A520F160P,P00001,2,2020-04-16,3,1,2,1
1680015117805,SPE4A520F160P,P00001,3,2020-04-16,3,1,2,1
1680015117805,SPE4A520F160P,P00001,4,2020-04-16,3,1,2,1
1680015117805,SPE4A520F160P,P00001,5,2020-04-16,3,1,2,1
1680016023995,SPE7M121FA6AW,BASE,1,2021-03-31,2,1,2,1
1720012929873,SPE7M221F0124,BASE,1,2021-03-31,2,1,2,1
2510015998628,SPE7L124F3553,BASE,1,2024-01-31,2,1,2,1
2520011517825,SPE7LX22F931Q,BASE,1,2022-03-18,4,1,2,1
2520014523227,SPE7L122F309L,BASE,1,2022-01-10,2,1,2,1
2540014822300,SPE7L121F24E1,P00002,1,2021-06-17,4,2,2,1
2541002410573,SPE7LX22F30HF,BASE,1,2022-08-02,2,1,2,1
2640009226921,SPE7LX20F8303,P00001,1,2020-05-14,3,1,2,1
2910015522309,SPE7MX20FBE6H,BASE,1,2020-06-29,3,2,1,1
2910015522317,SPE7MX20FBH1Q,BASE,1,2020-07-01,2,2,1,1
2910016413851,SPE7M120FABK6,P00002,1,2020-07-30,3,1,2,1
2930013535794,SPE7L320F1415,BASE,1,2020-04-24,3,1,2,1
2930013535794,SPE7L320F1415,BASE,2,2020-04-24,3,1,2,1
3030014376084,SPE7MX21FA02N,BASE,1,2020-10-09,2,2,1,1
3040000846041,SPEHA620F1072,BASE,1,2020-05-19,2,1,2,1
3040012326146,SPE7L321P5905,P00001,1,2021-07-23,2,2,1,1
3120015708599,SPE7M121FAG76,BASE,1,2021-05-27,2,1,2,1
3990009357960,SPE8EF21P0579,P00001,1,2021-06-15,2,2,1,1
4220014851138,SPE8EJ21F6526,BASE,1,2021-02-19,6,2,1,1
4220015048277,SPE8E622P0135,BASE,1,2021-11-03,8,2,1,1
4220015156476,SPE8EJ22F2981,BASE,1,2021-12-15,2,2,1,1
4240012437176,SPE8E622V0554,P00001,1,2022-02-03,3,2,1,1
4240014925720,SPE8EJ21F7880,BASE,1,2021-03-08,5,2,1,1
4240014925720,SPE8EJ21F7997,BASE,1,2021-03-10,5,2,1,1
4240014925720,SPE8EJ21F9123,BASE,1,2021-03-30,5,2,1,1
4240014925720,SPE8EJ21F9478,BASE,1,2021-04-08,5,2,1,1
4240014925720,SPE8EJ21F9666,BASE,1,2021-04-12,5,2,1,1
4240015046222,SPE8EJ21F7871,BASE,1,2021-03-07,6,2,1,1
4240015046222,SPE8EJ21F9533,BASE,1,2021-04-09,6,2,1,1
4240015253095,SPE8EJ21F7873,BASE,1,2021-03-07,4,2,1,1
4710014600126,SPE7M120FZ234,BASE,1,2020-05-07,2,1,2,1
4720014776815,SPE7LX22FAQ2G,P00001,1,2022-04-11,2,1,2,1
4730001720028,SPE7MX20FBW3E,BASE,1,2020-07-30,4,2,1,1
4730010918032,SPE7MX21FA5JB,BASE,1,2021-01-27,8,2,1,1
4730015265360,SPE7MX21FA2WV,P00001,1,2021-01-07,2,2,1,1
4930011230398,SPE8EE21P0620,P00002,1,2021-09-21,2,2,1,1
5305002834583,SPE4AX21FZ06W,BASE,1,2021-03-23,12,2,2,1
5305010049528,SPE4AX23FZ34E,BASE,1,2022-11-04,12,2,1,1
5305014362405,SPE5E220V5885,P00003,2,2020-05-27,2,1,2,1
5305016519426,SPE7M120FA4UA,P00002,1,2020-02-15,2,2,1,1
5306014256227,SPE4AX23FZ34H,BASE,1,2022-11-04,2,2,1,1
5306014860350,SPE5E420V4963,BASE,1,2020-04-08,2,1,2,1
5306015933011,SPE4AX23FZ34K,BASE,1,2022-11-04,2,2,1,1
5306016927071,SPE4A621V148K,BASE,1,2021-03-17,3,2,1,1
5310000336920,SPEHA621F0508,BASE,1,2021-06-18,3,1,2,1
5310002090026,SPEHA622F0152,P00002,1,2021-10-15,2,1,2,1
5310002090026,SPEHA622F0152,P00002,2,2021-10-15,2,1,2,1
5310005957079,SPEHA621F0077,P00001,1,2020-10-19,3,1,2,1
5310005957079,SPEHA621F0077,P00001,2,2020-10-19,3,1,2,1
5310005957079,SPEHA621F0077,P00001,3,2020-10-19,3,1,2,1
5310005957079,SPEHA621F0077,P00001,4,2020-10-19,3,1,2,1
5310011122452,SPEHA620P0173,BASE,1,2020-06-17,2,2,1,1
5310011767721,SPE4A621V797H,BASE,1,2021-09-17,4,2,1,1
5315008457787,SPEHA620F0575,P00001,1,2020-01-09,3,1,2,1
5315008457787,SPEHA620F0575,P00001,2,2020-01-09,3,1,2,1
5315013400348,SPE5E920V3506,BASE,1,2020-04-21,2,1,2,1
5315013400348,SPE5E920V3506,BASE,2,2020-04-21,2,1,2,1
5315013400348,SPE5E920V3506,BASE,3,2020-04-21,2,1,2,1
5320002312512,SPE4AX21FZ06Y,BASE,1,2021-03-23,6,1,2,1
5320014724273,SPE4AX23FZ34J,BASE,1,2022-11-04,2,2,1,1
5325011641739,SPE4AX21FZ06X,BASE,1,2021-03-23,2,1,2,1
5330010134445,SPE4AX22F3721,BASE,1,2022-05-19,2,1,2,1
5330013103989,SPE7M121FAJ71,P00001,1,2021-05-30,2,1,2,1
5330014471843,SPE7M121FZ427,BASE,1,2020-11-05,2,1,2,1
5330015779030,SPE7M121FZ07T,BASE,1,2021-03-23,2,1,2,1
5330016859742,SPE7L321V4636,BASE,1,2021-02-24,2,2,1,1
5335014744593,SPE8E421V1667,P00001,2,2021-08-24,2,2,1,1
5340013166319,SPE7MX22FA160,BASE,1,2021-12-15,2,1,2,1
5340014118904,SPE7M121FAJ0H,BASE,1,2021-08-13,2,1,2,1
5340014321394,SPE7M120FAT8B,BASE,1,2020-06-30,3,1,2,1
5340015190667,SPE7M120FAQ6U,BASE,1,2020-06-17,2,1,2,1
5340015775721,SPE7M120FAKG3,BASE,1,2020-08-28,2,1,2,1
5340015775721,SPE7M120FAKH3,BASE,1,2020-08-28,2,1,2,1
5340015857618,SPE7M120FAV94,BASE,1,2020-04-23,2,1,2,1
5340015857618,SPE7M120FZ229,BASE,1,2020-04-23,2,1,2,1
5340016607991,SPE7LX22FZ772,BASE,1,2022-04-28,4,1,2,1
5342006738820,SPE4A220F4234,P00002,1,2020-06-08,2,1,2,1
5355014810520,SPE7M121FAQ89,P00001,1,2021-06-11,2,1,2,1
5360015126238,SPE7M121FAM78,BASE,1,2021-06-04,2,1,2,1
5925015802765,SPE7MX20FAK0M,BASE,1,2020-01-22,2,2,1,1
