treated_nsn,delta_treated,pre_treated,post_treated,delta_donor,n_donors,sum_w,tau,outcome,post_label,post_threshold
1660016004909,0.0119810806096385,9.60743723041383,9.61941831102347,0.379427803404105,3,3,-0.367446722794466,max_log_unit_price,headline,0
2895145543146,-0.0198511715356169,8.32059756116917,8.30074638963356,0.32194957279167,3,3,-0.341800744327287,max_log_unit_price,headline,0
3990015742050,-0.20170420521686,7.39927027365633,7.19756606843947,0.271812680943869,3,3,-0.473516886160729,max_log_unit_price,headline,0
4240015387970,2.29506414764866,2.28980128499907,4.58486543264773,0.528631634591456,3,3,1.76643251305721,max_log_unit_price,headline,0
4510015272274,0.271327499566905,5.88154513282101,6.15287263238792,0.271261683535002,3,3,0.0000658160319038648,max_log_unit_price,headline,0
1660016004909,0.0,1.0,1.0,0.0,2,2,0.0,mean_offers,headline,0
2895145543146,-22.5,24.5,2.0,-9.35,3,3,-13.15,mean_offers,headline,0
3990015742050,-0.583333333333333,2.08333333333333,1.5,0.670701058201058,3,3,-1.25403439153439,mean_offers,headline,0
4240015387970,9.46666666666667,9.2,18.6666666666667,-0.541666666666666,1,1,10.0083333333333,mean_offers,headline,0
4510015272274,-5.3,14.8,9.5,-3.46875,2,2,-1.83125,mean_offers,headline,0
1660016004909,0.0,1.0,1.0,0.0,3,3,0.0,domestic_share,headline,0
2895145543146,-1.0,1.0,0.0,0.0,3,3,-1.0,domestic_share,headline,0
3990015742050,-0.395833333333333,0.395833333333333,0.0,-0.122448979591837,3,3,-0.273384353741497,domestic_share,headline,0
4240015387970,-1.0,1.0,0.0,0.0,3,3,-1.0,domestic_share,headline,0
4510015272274,0.1,0.4,0.5,-0.306481481481481,3,3,0.406481481481481,domestic_share,headline,0
3990015742050,-0.114792355431682,7.39927027365633,7.28447791822465,0.419371782400162,3,3,-0.534164137831844,max_log_unit_price,ey2plus,2
4510015272274,0.270740653523787,5.88154513282101,6.1522857863448,0.312574581597028,3,3,-0.0418339280732409,max_log_unit_price,ey2plus,2
4510015272274,-2.8,14.8,12.0,-0.111111111111111,1,1,-2.68888888888889,mean_offers,ey2plus,2
3990015742050,-0.395833333333333,0.395833333333333,0.0,-0.0891156462585034,3,3,-0.30671768707483,domestic_share,ey2plus,2
4510015272274,0.6,0.4,1.0,-0.417592592592593,3,3,1.01759259259259,domestic_share,ey2plus,2
