treated_nsn,outcome,att,placebo_se,ci_lo,ci_hi,asymp_p,empirical_p,pre_rmspe,weight_hhi,n_balanced_pool,n_active,n_pre_eys,n_post_eys,n_placebo_used,wall_sec,error
1680016229189,domestic_share,-0.500425098082757,0.0914451890652853,-0.679657668650716,-0.321192527514797,4.43969092600582e-8,0.0,1.28401293521709e-6,0.000115655211555859,24693,9105,3,2,200,8976.58216404915,NA
3990015742050,domestic_share,-0.231023751876991,0.0808027738905641,-0.389397188702497,-0.0726503150514857,0.0042483586708455,0.02,0.000920483036263313,0.00847525150531559,11770,224,5,3,200,4952.42035007477,NA
3990015742050,max_log_unit_price,-0.22048198015678,0.331958419694873,-0.871120482758731,0.430156522445171,0.506571571152222,0.27,0.000490407916197706,0.000573086745562023,14569,3858,5,3,200,6304.92496991158,NA
3990015742050,mean_offers,-0.13496105760767,1.64867341955762,-3.3663609599406,3.09643884472526,0.934757728782638,0.76,0.00710277159158289,0.000769352971146883,2556,1969,5,3,200,645.060174942017,NA
4240015387970,domestic_share,-1.00026668263552,0.122057106394575,-1.23949861116889,-0.761034754102155,2.22044604925031e-16,0.005,2.14015797878692e-6,0.00011886652801027,23847,8883,4,1,200,9162.56278395653,NA
4240015387970,max_log_unit_price,1.8053543073411,0.364831011937108,1.09028552394437,2.52042309073783,7.48001800943143e-7,0.005,8.00688813645245e-6,0.00013708945516853,25351,8089,4,1,200,10888.0598812103,NA
4240015387970,mean_offers,8.5887729961934,2.10720745030192,4.45864639360163,12.7188995987852,0.000045836140331712,0.01,0.047826861969269,0.0118367167551467,7305,171,4,1,200,3215.61966395378,NA
4510015272274,domestic_share,0.0727097097881174,0.120062131365715,-0.162612067688684,0.308031487264919,0.544779942990558,0.08,0.000405165140672331,0.00530696210494553,13597,1229,4,3,200,5285.45339202881,NA
4510015272274,max_log_unit_price,0.067732947103031,0.346174036155164,-0.61076816376109,0.746234057967152,0.844875084423101,0.71,0.0000491693738167923,0.00011472903060888,16274,9105,4,3,200,5793.38636994362,NA
4510015272274,mean_offers,-4.63563515283765,1.80725780961343,-8.17786045967997,-1.09340984599532,0.0103172700080429,0.025,0.0125213787678646,0.00134073873088571,3237,1297,4,3,200,657.793392181396,NA
