nsn,first_waiver_date
1660-01-600-4909,2022-11-22
1680-01-622-9189,2022-09-13
2895-14-554-3146,2023-03-14
3990-01-574-2050,2023-04-13
4240-01-538-7970,2023-03-06
4510-01-527-2274,2023-03-08
6695-01-266-2248,2025-07-10
8150-01-463-3177,2022-09-28
8150-01-463-8553,2022-07-06
8150-01-463-8555,2022-08-25
8150-01-481-3740,2024-03-28
8150-01-481-3741,2022-10-17
8150-01-483-9115,2023-03-22
8150-01-483-9121,2022-10-17
8150-01-483-9123,2022-10-17
8150-01-483-9125,2024-03-28
8150-01-488-6545,2023-01-19
8150-01-491-2678,2022-09-27
8150-01-491-2727,2024-02-22
8150-01-501-2741,2022-12-21
8150-01-513-4913,2024-03-28
8150-01-514-8414,2022-10-17
8150-01-533-8673,2024-03-28
8150-01-533-8674,2022-11-08
8150-01-533-8675,2023-03-21
8150-01-533-8677,2024-03-28
8150-01-573-7424,2022-09-22
8150-01-574-1682,2024-03-28
